seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.11
0,400,win,0.0
0,400,draw,0.0
0,400,loss,0.0036790368612855673
0,500,win,0.0
0,500,draw,0.21
0,500,loss,0.0018366544973105192
0,600,win,0.0
0,600,draw,0.25
0,600,loss,0.0018486140761524439
0,700,win,0.0
0,700,draw,0.64
0,700,loss,0.0019421620527282357
0,800,win,0.0
0,800,draw,0.75
0,800,loss,0.0018267643172293901
0,900,win,0.0
0,900,draw,0.87
0,900,loss,0.002812392544001341
0,1000,win,0.0
0,1000,draw,0.84
0,1000,loss,0.0015664552338421345
0,1100,win,0.0
0,1100,draw,0.85
0,1100,loss,0.0023268579971045256
0,1200,win,0.0
0,1200,draw,0.91
0,1200,loss,0.0014606858603656292
0,1300,win,0.0
0,1300,draw,0.92
0,1300,loss,0.0018193707801401615
0,1400,win,0.0
0,1400,draw,0.99
0,1400,loss,0.0011662315810099244
0,1500,win,0.0
0,1500,draw,0.99
0,1500,loss,0.0007329464424401522
0,1600,win,0.0
0,1600,draw,1.0
0,1600,loss,0.001415818464010954
0,1700,win,0.0
0,1700,draw,0.97
0,1700,loss,0.001304296194575727
0,1800,win,0.0
0,1800,draw,0.99
0,1800,loss,0.0009824560256674886
0,1900,win,0.0
0,1900,draw,0.96
0,1900,loss,0.0007807809161022305
0,2000,win,0.0
0,2000,draw,0.99
0,2000,loss,0.0004116243217140436
0,2100,win,0.0
0,2100,draw,0.98
0,2100,loss,0.0009520594030618668
0,2200,win,0.0
0,2200,draw,0.97
0,2200,loss,0.0007962469244375825
0,2300,win,0.0
0,2300,draw,1.0
0,2300,loss,0.00043193978490307927
0,2400,win,0.0
0,2400,draw,0.96
0,2400,loss,0.0004535916668828577
0,2500,win,0.0
0,2500,draw,1.0
0,2500,loss,0.0007945934194140136
0,2600,win,0.0
0,2600,draw,1.0
0,2600,loss,0.00040901510510593653
0,2700,win,0.0
0,2700,draw,1.0
0,2700,loss,0.0005239046877250075
0,2800,win,0.0
0,2800,draw,1.0
0,2800,loss,0.0005770156858488917
0,2900,win,0.0
0,2900,draw,1.0
0,2900,loss,0.00037864275509491563
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.1
1,400,loss,0.0015144827775657177
1,500,win,0.0
1,500,draw,0.25
1,500,loss,0.0022749495692551136
1,600,win,0.0
1,600,draw,0.59
1,600,loss,0.0016194263007491827
1,700,win,0.0
1,700,draw,0.69
1,700,loss,0.002042486798018217
1,800,win,0.0
1,800,draw,0.83
1,800,loss,0.0018997748848050833
1,900,win,0.0
1,900,draw,0.79
1,900,loss,0.0015964377671480179
1,1000,win,0.0
1,1000,draw,0.84
1,1000,loss,0.0021381396800279617
1,1100,win,0.0
1,1100,draw,0.91
1,1100,loss,0.0016770289512351155
1,1200,win,0.0
1,1200,draw,0.86
1,1200,loss,0.001476007979363203
1,1300,win,0.0
1,1300,draw,0.91
1,1300,loss,0.0010836125584319234
1,1400,win,0.0
1,1400,draw,0.89
1,1400,loss,0.0006072517717257142
1,1500,win,0.0
1,1500,draw,0.9
1,1500,loss,0.0016902717761695385
1,1600,win,0.0
1,1600,draw,0.97
1,1600,loss,0.0011625417973846197
1,1700,win,0.0
1,1700,draw,0.96
1,1700,loss,0.0011009799782186747
1,1800,win,0.0
1,1800,draw,0.96
1,1800,loss,0.0011238838778808713
1,1900,win,0.0
1,1900,draw,0.98
1,1900,loss,0.001344206859357655
1,2000,win,0.0
1,2000,draw,0.96
1,2000,loss,0.0009044209728017449
1,2100,win,0.0
1,2100,draw,0.98
1,2100,loss,0.001069741672836244
1,2200,win,0.0
1,2200,draw,0.96
1,2200,loss,0.0008365326793864369
1,2300,win,0.0
1,2300,draw,1.0
1,2300,loss,0.001019162591546774
1,2400,win,0.0
1,2400,draw,0.99
1,2400,loss,0.000978719675913453
1,2500,win,0.0
1,2500,draw,1.0
1,2500,loss,0.0008846214041113853
1,2600,win,0.0
1,2600,draw,0.96
1,2600,loss,0.0011782797519117594
1,2700,win,0.0
1,2700,draw,0.98
1,2700,loss,0.0005060144467279315
1,2800,win,0.0
1,2800,draw,0.99
1,2800,loss,0.00046962423948571086
1,2900,win,0.0
1,2900,draw,1.0
1,2900,loss,0.0007902263896539807
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.02
2,400,loss,0.005065096542239189
2,500,win,0.0
2,500,draw,0.2
2,500,loss,0.0012069991789758205
2,600,win,0.0
2,600,draw,0.39
2,600,loss,0.0021162736229598522
2,700,win,0.0
2,700,draw,0.47
2,700,loss,0.001988010248169303
2,800,win,0.0
2,800,draw,0.57
2,800,loss,0.001879341434687376
2,900,win,0.0
2,900,draw,0.54
2,900,loss,0.0018609355902299285
2,1000,win,0.0
2,1000,draw,0.73
2,1000,loss,0.001460384693928063
2,1100,win,0.0
2,1100,draw,0.81
2,1100,loss,0.0012893471866846085
2,1200,win,0.0
2,1200,draw,0.85
2,1200,loss,0.0008720726473256946
2,1300,win,0.0
2,1300,draw,0.89
2,1300,loss,0.0007013161666691303
2,1400,win,0.0
2,1400,draw,0.84
2,1400,loss,0.0012299593072384596
2,1500,win,0.0
2,1500,draw,0.83
2,1500,loss,0.0006230819271877408
2,1600,win,0.0
2,1600,draw,0.91
2,1600,loss,0.0009206784889101982
2,1700,win,0.0
2,1700,draw,0.94
2,1700,loss,0.000827633892185986
2,1800,win,0.0
2,1800,draw,0.95
2,1800,loss,0.0005739717744290829
2,1900,win,0.0
2,1900,draw,0.97
2,1900,loss,0.0005072009516879916
2,2000,win,0.0
2,2000,draw,0.91
2,2000,loss,0.0004954655887559056
2,2100,win,0.0
2,2100,draw,0.94
2,2100,loss,0.0005353744491003454
2,2200,win,0.0
2,2200,draw,0.86
2,2200,loss,0.0010278697591274977
2,2300,win,0.0
2,2300,draw,0.98
2,2300,loss,0.0011802153894677758
2,2400,win,0.0
2,2400,draw,0.91
2,2400,loss,0.0007933935848996043
2,2500,win,0.0
2,2500,draw,0.92
2,2500,loss,0.0007684056181460619
2,2600,win,0.0
2,2600,draw,0.92
2,2600,loss,0.0007919942727312446
2,2700,win,0.0
2,2700,draw,0.87
2,2700,loss,0.000464865704998374
2,2800,win,0.0
2,2800,draw,0.98
2,2800,loss,0.0008743387297727168
2,2900,win,0.0
2,2900,draw,0.84
2,2900,loss,0.0007795122219249606
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.04
3,400,loss,0.005499349907040596
3,500,win,0.0
3,500,draw,0.05
3,500,loss,0.0023720606695860624
3,600,win,0.0
3,600,draw,0.16
3,600,loss,0.002022766275331378
3,700,win,0.0
3,700,draw,0.44
3,700,loss,0.0020000399090349674
3,800,win,0.0
3,800,draw,0.58
3,800,loss,0.002272197511047125
3,900,win,0.0
3,900,draw,0.65
3,900,loss,0.001964195631444454
3,1000,win,0.0
3,1000,draw,0.74
3,1000,loss,0.001948392717167735
3,1100,win,0.0
3,1100,draw,0.82
3,1100,loss,0.0014350439887493849
3,1200,win,0.0
3,1200,draw,0.84
3,1200,loss,0.0015967473154887557
3,1300,win,0.0
3,1300,draw,0.84
3,1300,loss,0.0017557312967255712
3,1400,win,0.0
3,1400,draw,0.88
3,1400,loss,0.000837657367810607
3,1500,win,0.0
3,1500,draw,0.89
3,1500,loss,0.000957140582613647
3,1600,win,0.0
3,1600,draw,0.88
3,1600,loss,0.0011754482984542847
3,1700,win,0.0
3,1700,draw,0.86
3,1700,loss,0.001028203871101141
3,1800,win,0.0
3,1800,draw,0.89
3,1800,loss,0.001262347912415862
3,1900,win,0.0
3,1900,draw,0.86
3,1900,loss,0.0004856179002672434
3,2000,win,0.0
3,2000,draw,0.85
3,2000,loss,0.0007486427202820778
3,2100,win,0.0
3,2100,draw,0.86
3,2100,loss,0.0007705944590270519
3,2200,win,0.0
3,2200,draw,0.85
3,2200,loss,0.0011774157173931599
3,2300,win,0.0
3,2300,draw,0.91
3,2300,loss,0.0007709951023571193
3,2400,win,0.0
3,2400,draw,0.94
3,2400,loss,0.0009670197614468634
3,2500,win,0.0
3,2500,draw,1.0
3,2500,loss,0.0007717089029029012
3,2600,win,0.0
3,2600,draw,0.98
3,2600,loss,0.0004970800364390016
3,2700,win,0.0
3,2700,draw,0.96
3,2700,loss,0.0005603501340374351
3,2800,win,0.0
3,2800,draw,0.98
3,2800,loss,0.0004457238537725061
3,2900,win,0.0
3,2900,draw,0.98
3,2900,loss,0.0007212341297417879
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.03
4,400,loss,0.00484217656776309
4,500,win,0.0
4,500,draw,0.13
4,500,loss,0.0017756742890924215
4,600,win,0.0
4,600,draw,0.23
4,600,loss,0.0016178521327674389
4,700,win,0.0
4,700,draw,0.48
4,700,loss,0.0019739996641874313
4,800,win,0.0
4,800,draw,0.64
4,800,loss,0.0017800480127334595
4,900,win,0.0
4,900,draw,0.59
4,900,loss,0.002357339486479759
4,1000,win,0.0
4,1000,draw,0.66
4,1000,loss,0.0014997540274634957
4,1100,win,0.0
4,1100,draw,0.84
4,1100,loss,0.0016075748717412353
4,1200,win,0.0
4,1200,draw,0.86
4,1200,loss,0.0016181092942133546
4,1300,win,0.0
4,1300,draw,0.93
4,1300,loss,0.0014435775810852647
4,1400,win,0.0
4,1400,draw,0.9
