seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.08
0,100,win,0.0
0,100,draw,0.11
0,200,win,0.0
0,200,draw,0.09
0,300,win,0.0
0,300,draw,0.1
0,400,win,0.0
0,400,draw,0.04
0,400,loss,0.001999253872781992
0,500,win,0.0
0,500,draw,0.13
0,500,loss,0.002133714035153389
0,600,win,0.0
0,600,draw,0.27
0,600,loss,0.002156964037567377
0,700,win,0.0
0,700,draw,0.56
0,700,loss,0.0023325923830270767
0,800,win,0.0
0,800,draw,0.42
0,800,loss,0.003445641603320837
0,900,win,0.0
0,900,draw,0.71
0,900,loss,0.001743130967952311
0,1000,win,0.0
0,1000,draw,0.67
0,1000,loss,0.002542428206652403
0,1100,win,0.0
0,1100,draw,0.84
0,1100,loss,0.002137287985533476
0,1200,win,0.0
0,1200,draw,0.86
0,1200,loss,0.002308100461959839
0,1300,win,0.0
0,1300,draw,0.95
0,1300,loss,0.002361191436648369
0,1400,win,0.0
0,1400,draw,0.92
0,1400,loss,0.002387271262705326
0,1500,win,0.0
0,1500,draw,0.9
0,1500,loss,0.0015653222799301147
0,1600,win,0.0
0,1600,draw,0.83
0,1600,loss,0.002379718003794551
0,1700,win,0.0
0,1700,draw,0.93
0,1700,loss,0.0016107897972688079
0,1800,win,0.0
0,1800,draw,0.94
0,1800,loss,0.0020365011878311634
0,1900,win,0.0
0,1900,draw,0.9
0,1900,loss,0.001384244067594409
0,2000,win,0.0
0,2000,draw,0.93
0,2000,loss,0.001179769984446466
0,2100,win,0.0
0,2100,draw,0.96
0,2100,loss,0.00204620067961514
0,2200,win,0.0
0,2200,draw,0.92
0,2200,loss,0.001778026344254613
0,2300,win,0.0
0,2300,draw,0.94
0,2300,loss,0.0014643673785030842
0,2400,win,0.0
0,2400,draw,0.88
0,2400,loss,0.0014103902503848076
0,2500,win,0.0
0,2500,draw,0.95
0,2500,loss,0.001208711415529251
0,2600,win,0.0
0,2600,draw,0.97
0,2600,loss,0.0017246670322492719
0,2700,win,0.0
0,2700,draw,0.95
0,2700,loss,0.00224934215657413
0,2800,win,0.0
0,2800,draw,0.94
0,2800,loss,0.001301820739172399
0,2900,win,0.0
0,2900,draw,0.96
0,2900,loss,0.0009248994756489992
1,0,win,0.0
1,0,draw,0.0
1,100,win,0.0
1,100,draw,0.0
1,200,win,0.0
1,200,draw,0.0
1,300,win,0.0
1,300,draw,0.0
1,400,win,0.0
1,400,draw,0.05
1,400,loss,0.0013191885082051158
1,500,win,0.0
1,500,draw,0.31
1,500,loss,0.0019108004635199904
1,600,win,0.0
1,600,draw,0.2
1,600,loss,0.0015772714978083968
1,700,win,0.0
1,700,draw,0.3
1,700,loss,0.002005121437832713
1,800,win,0.0
1,800,draw,0.39
1,800,loss,0.0022074899170547724
1,900,win,0.0
1,900,draw,0.47
1,900,loss,0.0016218689270317554
1,1000,win,0.0
1,1000,draw,0.61
1,1000,loss,0.0023849187418818474
1,1100,win,0.0
1,1100,draw,0.61
1,1100,loss,0.003033075714483857
1,1200,win,0.0
1,1200,draw,0.77
1,1200,loss,0.003004771890118718
1,1300,win,0.0
1,1300,draw,0.79
1,1300,loss,0.0020352015271782875
1,1400,win,0.0
1,1400,draw,0.84
1,1400,loss,0.0017533227801322937
1,1500,win,0.0
1,1500,draw,0.77
1,1500,loss,0.002023096662014723
1,1600,win,0.0
1,1600,draw,0.78
1,1600,loss,0.0024406847078353167
1,1700,win,0.0
1,1700,draw,0.84
1,1700,loss,0.0024213152937591076
1,1800,win,0.0
1,1800,draw,0.91
1,1800,loss,0.0024935973342508078
1,1900,win,0.0
1,1900,draw,0.79
1,1900,loss,0.001945285708643496
1,2000,win,0.0
1,2000,draw,0.88
1,2000,loss,0.0014753526775166392
1,2100,win,0.0
1,2100,draw,0.88
1,2100,loss,0.0012092344695702195
1,2200,win,0.0
1,2200,draw,0.93
1,2200,loss,0.0016400928143411875
1,2300,win,0.0
1,2300,draw,0.87
1,2300,loss,0.0019778930582106113
1,2400,win,0.0
1,2400,draw,0.77
1,2400,loss,0.0017116148956120014
1,2500,win,0.0
1,2500,draw,0.94
1,2500,loss,0.0015306909335777164
1,2600,win,0.0
1,2600,draw,0.83
1,2600,loss,0.0015088474610820413
1,2700,win,0.0
1,2700,draw,0.88
1,2700,loss,0.0014961137203499675
1,2800,win,0.0
1,2800,draw,0.92
1,2800,loss,0.0007599976379424334
1,2900,win,0.0
1,2900,draw,0.8
1,2900,loss,0.0009897395502775908
2,0,win,0.0
2,0,draw,0.06
2,100,win,0.0
2,100,draw,0.05
2,200,win,0.0
2,200,draw,0.02
2,300,win,0.0
2,300,draw,0.02
2,400,win,0.0
2,400,draw,0.0
2,400,loss,0.004790064878761768
2,500,win,0.0
2,500,draw,0.29
2,500,loss,0.0018396343803033233
2,600,win,0.0
2,600,draw,0.22
2,600,loss,0.0022235489450395107
2,700,win,0.0
2,700,draw,0.17
2,700,loss,0.0029868169222027063
2,800,win,0.0
2,800,draw,0.32
2,800,loss,0.002248201984912157
2,900,win,0.0
2,900,draw,0.28
2,900,loss,0.002525783609598875
2,1000,win,0.0
2,1000,draw,0.46
2,1000,loss,0.0029505554120987654
2,1100,win,0.0
2,1100,draw,0.49
2,1100,loss,0.0025935708545148373
2,1200,win,0.0
2,1200,draw,0.5
2,1200,loss,0.003281613811850548
2,1300,win,0.0
2,1300,draw,0.58
2,1300,loss,0.0039063929580152035
2,1400,win,0.0
2,1400,draw,0.4
2,1400,loss,0.003082463052123785
2,1500,win,0.0
2,1500,draw,0.76
2,1500,loss,0.002686894964426756
2,1600,win,0.0
2,1600,draw,0.57
2,1600,loss,0.002866296097636223
2,1700,win,0.0
2,1700,draw,0.61
2,1700,loss,0.002208975376561284
2,1800,win,0.0
2,1800,draw,0.77
2,1800,loss,0.00265782093629241
2,1900,win,0.0
2,1900,draw,0.78
2,1900,loss,0.0026721868198364973
2,2000,win,0.0
2,2000,draw,0.84
2,2000,loss,0.0032457513734698296
2,2100,win,0.0
2,2100,draw,0.83
2,2100,loss,0.002886524423956871
2,2200,win,0.0
2,2200,draw,0.84
2,2200,loss,0.0018560639582574368
2,2300,win,0.0
2,2300,draw,0.83
2,2300,loss,0.002807019278407097
2,2400,win,0.0
2,2400,draw,0.93
2,2400,loss,0.0019516644533723593
2,2500,win,0.0
2,2500,draw,0.89
2,2500,loss,0.002125055994838476
2,2600,win,0.0
2,2600,draw,0.86
2,2600,loss,0.002114712493494153
2,2700,win,0.0
2,2700,draw,0.93
2,2700,loss,0.0022774487733840942
2,2800,win,0.0
2,2800,draw,0.93
2,2800,loss,0.0021766689606010914
2,2900,win,0.0
2,2900,draw,0.95
2,2900,loss,0.0018196197925135493
3,0,win,0.0
3,0,draw,0.01
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.03
3,300,win,0.0
3,300,draw,0.05
3,400,win,0.0
3,400,draw,0.21
3,400,loss,0.0033848867751657963
3,500,win,0.0
3,500,draw,0.3
3,500,loss,0.0021661987993866205
3,600,win,0.0
3,600,draw,0.49
3,600,loss,0.002739325165748596
3,700,win,0.0
3,700,draw,0.43
3,700,loss,0.002297057304531336
3,800,win,0.0
3,800,draw,0.67
3,800,loss,0.002602186519652605
3,900,win,0.0
3,900,draw,0.74
3,900,loss,0.0035921274684369564
3,1000,win,0.0
3,1000,draw,0.69
3,1000,loss,0.0026165065355598927
3,1100,win,0.0
3,1100,draw,0.67
3,1100,loss,0.0029954169876873493
3,1200,win,0.0
3,1200,draw,0.62
3,1200,loss,0.00220728712156415
3,1300,win,0.0
3,1300,draw,0.76
3,1300,loss,0.002265429124236107
3,1400,win,0.0
3,1400,draw,0.83
3,1400,loss,0.0013410672545433044
3,1500,win,0.0
3,1500,draw,0.91
3,1500,loss,0.001980195054784417
3,1600,win,0.0
3,1600,draw,0.88
3,1600,loss,0.0015351120382547379
3,1700,win,0.0
3,1700,draw,0.79
3,1700,loss,0.001235065283253789
3,1800,win,0.0
3,1800,draw,0.88
3,1800,loss,0.0025188634172081947
3,1900,win,0.0
3,1900,draw,0.9
3,1900,loss,0.0008059571264311671
3,2000,win,0.0
3,2000,draw,0.96
3,2000,loss,0.0017601348226889968
3,2100,win,0.0
3,2100,draw,0.93
3,2100,loss,0.001358858309686184
3,2200,win,0.0
3,2200,draw,0.92
3,2200,loss,0.0016581951640546322
3,2300,win,0.0
3,2300,draw,0.91
3,2300,loss,0.00110641960054636
3,2400,win,0.0
3,2400,draw,0.89
3,2400,loss,0.0017256701830774546
3,2500,win,0.0
3,2500,draw,0.86
3,2500,loss,0.0008148584747686982
3,2600,win,0.0
3,2600,draw,0.97
3,2600,loss,0.0010737610282376409
3,2700,win,0.0
3,2700,draw,0.99
3,2700,loss,0.001171162468381226
3,2800,win,0.0
3,2800,draw,0.97
3,2800,loss,0.0008453330956399441
3,2900,win,0.0
3,2900,draw,0.96
3,2900,loss,0.001063790637999773
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.0
4,300,win,0.0
4,300,draw,0.01
4,400,win,0.0
