seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.12
0,400,win,0.0
0,400,draw,0.17
0,400,loss,0.007583629805594683
0,500,win,0.0
0,500,draw,0.0
0,500,loss,0.007800784893333912
0,600,win,0.0
0,600,draw,0.06
0,600,loss,0.006084751803427935
0,700,win,0.0
0,700,draw,0.14
0,700,loss,0.005593818612396717
0,800,win,0.0
0,800,draw,0.05
0,800,loss,0.005809987895190716
0,900,win,0.0
0,900,draw,0.01
0,900,loss,0.005638668313622475
0,1000,win,0.0
0,1000,draw,0.07
0,1000,loss,0.004918737802654505
0,1100,win,0.0
0,1100,draw,0.06
0,1100,loss,0.005235778167843819
0,1200,win,0.0
0,1200,draw,0.0
0,1200,loss,0.004066637717187405
0,1300,win,0.0
0,1300,draw,0.02
0,1300,loss,0.004904475063085556
0,1400,win,0.0
0,1400,draw,0.06
0,1400,loss,0.00390455755405128
0,1500,win,0.0
0,1500,draw,0.06
0,1500,loss,0.003842305624857545
0,1600,win,0.0
0,1600,draw,0.12
0,1600,loss,0.004156656563282013
0,1700,win,0.0
0,1700,draw,0.13
0,1700,loss,0.007084876298904419
0,1800,win,0.0
0,1800,draw,0.29
0,1800,loss,0.0038336757570505142
0,1900,win,0.0
0,1900,draw,0.07
0,1900,loss,0.0036155041307210922
0,2000,win,0.0
0,2000,draw,0.4
0,2000,loss,0.0034935129806399345
0,2100,win,0.0
0,2100,draw,0.36
0,2100,loss,0.00403752364218235
0,2200,win,0.0
0,2200,draw,0.04
0,2200,loss,0.004496841691434383
0,2300,win,0.0
0,2300,draw,0.4
0,2300,loss,0.0037392794620245695
0,2400,win,0.0
0,2400,draw,0.18
0,2400,loss,0.00459598982706666
0,2500,win,0.0
0,2500,draw,0.45
0,2500,loss,0.0029658344574272633
0,2600,win,0.0
0,2600,draw,0.31
0,2600,loss,0.0029281277675181627
0,2700,win,0.0
0,2700,draw,0.51
0,2700,loss,0.0032751751132309437
0,2800,win,0.0
0,2800,draw,0.2
0,2800,loss,0.0030611776746809483
0,2900,win,0.0
0,2900,draw,0.08
0,2900,loss,0.0030652321875095367
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.03
1,400,loss,0.007776996120810509
1,500,win,0.0
1,500,draw,0.04
1,500,loss,0.0055519528687000275
1,600,win,0.0
1,600,draw,0.01
1,600,loss,0.007990737445652485
1,700,win,0.0
1,700,draw,0.03
1,700,loss,0.01031489484012127
1,800,win,0.0
1,800,draw,0.0
1,800,loss,0.0044931978918612
1,900,win,0.0
1,900,draw,0.13
1,900,loss,0.007833774201571941
1,1000,win,0.0
1,1000,draw,0.09
1,1000,loss,0.006635704077780247
1,1100,win,0.0
1,1100,draw,0.05
1,1100,loss,0.005189590621739626
1,1200,win,0.0
1,1200,draw,0.07
1,1200,loss,0.00642396742478013
1,1300,win,0.0
1,1300,draw,0.0
1,1300,loss,0.005737352184951305
1,1400,win,0.0
1,1400,draw,0.02
1,1400,loss,0.005226613953709602
1,1500,win,0.0
1,1500,draw,0.0
1,1500,loss,0.00813780166208744
1,1600,win,0.0
1,1600,draw,0.05
1,1600,loss,0.00536734564229846
1,1700,win,0.0
1,1700,draw,0.04
1,1700,loss,0.007941249758005142
1,1800,win,0.0
1,1800,draw,0.16
1,1800,loss,0.006145313382148743
1,1900,win,0.0
1,1900,draw,0.08
1,1900,loss,0.004141007084399462
1,2000,win,0.0
1,2000,draw,0.22
1,2000,loss,0.0033548306673765182
1,2100,win,0.0
1,2100,draw,0.43
1,2100,loss,0.006999207194894552
1,2200,win,0.0
1,2200,draw,0.03
1,2200,loss,0.005355615168809891
1,2300,win,0.0
1,2300,draw,0.2
1,2300,loss,0.005397752858698368
1,2400,win,0.0
1,2400,draw,0.5
1,2400,loss,0.00273353373631835
1,2500,win,0.0
1,2500,draw,0.08
1,2500,loss,0.002867909846827388
1,2600,win,0.0
1,2600,draw,0.42
1,2600,loss,0.003661390161141753
1,2700,win,0.0
1,2700,draw,0.13
1,2700,loss,0.004678498022258282
1,2800,win,0.0
1,2800,draw,0.1
1,2800,loss,0.003507025307044387
1,2900,win,0.0
1,2900,draw,0.14
1,2900,loss,0.002854311838746071
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.05
2,400,loss,0.006047542206943035
2,500,win,0.0
2,500,draw,0.19
2,500,loss,0.005623755976557732
2,600,win,0.0
2,600,draw,0.08
2,600,loss,0.006422185339033604
2,700,win,0.0
2,700,draw,0.11
2,700,loss,0.005019626580178738
2,800,win,0.0
2,800,draw,0.12
2,800,loss,0.0029370845295488834
2,900,win,0.0
2,900,draw,0.08
2,900,loss,0.005198578350245953
2,1000,win,0.0
2,1000,draw,0.24
2,1000,loss,0.004002022556960583
2,1100,win,0.0
2,1100,draw,0.29
2,1100,loss,0.0062890131957829
2,1200,win,0.0
2,1200,draw,0.28
2,1200,loss,0.0071134320460259914
2,1300,win,0.0
2,1300,draw,0.22
2,1300,loss,0.00392394233494997
2,1400,win,0.0
2,1400,draw,0.32
2,1400,loss,0.0027087638154625893
2,1500,win,0.0
2,1500,draw,0.17
2,1500,loss,0.005691070109605789
2,1600,win,0.0
2,1600,draw,0.4
2,1600,loss,0.004482803400605917
2,1700,win,0.0
2,1700,draw,0.47
2,1700,loss,0.003996220882982016
2,1800,win,0.0
2,1800,draw,0.2
2,1800,loss,0.0042630755342543125
2,1900,win,0.0
2,1900,draw,0.37
2,1900,loss,0.0037435111589729786
2,2000,win,0.0
2,2000,draw,0.41
2,2000,loss,0.004380058031529188
2,2100,win,0.0
2,2100,draw,0.38
2,2100,loss,0.0029801889322698116
2,2200,win,0.0
2,2200,draw,0.18
2,2200,loss,0.004382341168820858
2,2300,win,0.0
2,2300,draw,0.61
2,2300,loss,0.0034154942259192467
2,2400,win,0.0
2,2400,draw,0.35
2,2400,loss,0.0030868896283209324
2,2500,win,0.0
2,2500,draw,0.37
2,2500,loss,0.0024579809978604317
2,2600,win,0.0
2,2600,draw,0.56
2,2600,loss,0.004657613579183817
2,2700,win,0.0
2,2700,draw,0.58
2,2700,loss,0.003275358583778143
2,2800,win,0.0
2,2800,draw,0.07
2,2800,loss,0.00205538934096694
2,2900,win,0.0
2,2900,draw,0.04
2,2900,loss,0.0028654790949076414
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.03
3,400,loss,0.006584635935723782
3,500,win,0.0
3,500,draw,0.01
3,500,loss,0.005606009159237146
3,600,win,0.0
3,600,draw,0.0
3,600,loss,0.005110736005008221
3,700,win,0.0
3,700,draw,0.0
3,700,loss,0.006373519077897072
3,800,win,0.0
3,800,draw,0.01
3,800,loss,0.006488319486379623
3,900,win,0.0
3,900,draw,0.01
3,900,loss,0.004578632768243551
3,1000,win,0.0
3,1000,draw,0.02
3,1000,loss,0.004827415570616722
3,1100,win,0.0
3,1100,draw,0.0
3,1100,loss,0.0044011520221829414
3,1200,win,0.0
3,1200,draw,0.0
3,1200,loss,0.0056457193568348885
3,1300,win,0.0
3,1300,draw,0.08
3,1300,loss,0.00451847817748785
3,1400,win,0.0
3,1400,draw,0.11
3,1400,loss,0.007425490766763687
3,1500,win,0.0
3,1500,draw,0.21
3,1500,loss,0.006238716188818216
3,1600,win,0.0
3,1600,draw,0.2
3,1600,loss,0.002903768327087164
3,1700,win,0.0
3,1700,draw,0.06
3,1700,loss,0.005877533461898565
3,1800,win,0.0
3,1800,draw,0.06
3,1800,loss,0.004260161891579628
3,1900,win,0.0
3,1900,draw,0.1
3,1900,loss,0.0036785525735467672
3,2000,win,0.0
3,2000,draw,0.16
3,2000,loss,0.002119698328897357
3,2100,win,0.0
3,2100,draw,0.0
3,2100,loss,0.007183988578617573
3,2200,win,0.0
3,2200,draw,0.02
3,2200,loss,0.005083103198558092
3,2300,win,0.0
3,2300,draw,0.13
3,2300,loss,0.004392283037304878
3,2400,win,0.0
3,2400,draw,0.05
3,2400,loss,0.004034434910863638
3,2500,win,0.0
3,2500,draw,0.01
3,2500,loss,0.0033625266514718533
3,2600,win,0.0
3,2600,draw,0.05
3,2600,loss,0.003734972793608904
3,2700,win,0.0
3,2700,draw,0.08
3,2700,loss,0.004214823711663485
3,2800,win,0.0
3,2800,draw,0.0
3,2800,loss,0.003552944865077734
3,2900,win,0.0
3,2900,draw,0.09
3,2900,loss,0.003669699188321829
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.06
4,400,loss,0.007280116435140371
4,500,win,0.0
4,500,draw,0.0
4,500,loss,0.01023327186703682
4,600,win,0.0
4,600,draw,0.04
4,600,loss,0.004059250466525555
4,700,win,0.0
4,700,draw,0.14
4,700,loss,0.010208170861005783
4,800,win,0.0
4,800,draw,0.03
4,800,loss,0.00770716555416584
4,900,win,0.0
4,900,draw,0.18
4,900,loss,0.005382220260798931
4,1000,win,0.0
4,1000,draw,0.08
4,1000,loss,0.006255830638110638
4,1100,win,0.0
4,1100,draw,0.1
4,1100,loss,0.008241124451160431
4,1200,win,0.0
4,1200,draw,0.1
4,1200,loss,0.007018248550593853
4,1300,win,0.0
4,1300,draw,0.12
4,1300,loss,0.006267491728067398
4,1400,win,0.0
4,1400,draw,0.17
4,1400,loss,0.005971215665340424
4,1500,win,0.0
4,1500,draw,0.11
4,1500,loss,0.003706318326294422
