seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.05
0,100,win,0.0
0,100,draw,0.02
0,200,win,0.0
0,200,draw,0.05
0,300,win,0.0
0,300,draw,0.04
0,400,win,0.0
0,400,draw,0.17
0,400,loss,0.0019672042690217495
0,500,win,0.0
0,500,draw,0.27
0,500,loss,0.003129207994788885
0,600,win,0.0
0,600,draw,0.38
0,600,loss,0.002482624724507332
0,700,win,0.0
0,700,draw,0.62
0,700,loss,0.002466446254402399
0,800,win,0.0
0,800,draw,0.64
0,800,loss,0.0034398939460515976
0,900,win,0.0
0,900,draw,0.85
0,900,loss,0.0038224514573812485
0,1000,win,0.0
0,1000,draw,0.89
0,1000,loss,0.002122448291629553
0,1100,win,0.0
0,1100,draw,0.89
0,1100,loss,0.0018219295889139175
0,1200,win,0.0
0,1200,draw,0.81
0,1200,loss,0.001996660139411688
0,1300,win,0.0
0,1300,draw,0.91
0,1300,loss,0.001826006919145584
0,1400,win,0.0
0,1400,draw,0.83
0,1400,loss,0.0016406415961682796
0,1500,win,0.0
0,1500,draw,0.89
0,1500,loss,0.0021414561197161674
0,1600,win,0.0
0,1600,draw,0.87
0,1600,loss,0.003816233016550541
0,1700,win,0.0
0,1700,draw,0.83
0,1700,loss,0.0013330599758774042
0,1800,win,0.0
0,1800,draw,0.87
0,1800,loss,0.0017917314544320107
0,1900,win,0.0
0,1900,draw,0.92
0,1900,loss,0.0018048483179882169
0,2000,win,0.0
0,2000,draw,0.89
0,2000,loss,0.0013267291942611337
0,2100,win,0.0
0,2100,draw,0.88
0,2100,loss,0.0021125273779034615
0,2200,win,0.0
0,2200,draw,0.96
0,2200,loss,0.002225017873570323
0,2300,win,0.0
0,2300,draw,0.86
0,2300,loss,0.0009835083037614822
0,2400,win,0.0
0,2400,draw,0.91
0,2400,loss,0.0015217144973576069
0,2500,win,0.0
0,2500,draw,0.87
0,2500,loss,0.0012960727326571941
0,2600,win,0.0
0,2600,draw,0.94
0,2600,loss,0.0014697626465931535
0,2700,win,0.0
0,2700,draw,0.97
0,2700,loss,0.0016478702891618013
0,2800,win,0.0
0,2800,draw,0.92
0,2800,loss,0.000833069731015712
0,2900,win,0.0
0,2900,draw,0.97
0,2900,loss,0.0014602874871343374
1,0,win,0.0
1,0,draw,0.09
1,100,win,0.0
1,100,draw,0.14
1,200,win,0.0
1,200,draw,0.1
1,300,win,0.0
1,300,draw,0.1
1,400,win,0.0
1,400,draw,0.3
1,400,loss,0.002605258487164974
1,500,win,0.0
1,500,draw,0.56
1,500,loss,0.0035995617508888245
1,600,win,0.0
1,600,draw,0.67
1,600,loss,0.003401400987058878
1,700,win,0.0
1,700,draw,0.82
1,700,loss,0.002578736050054431
1,800,win,0.0
1,800,draw,0.94
1,800,loss,0.0007106287521310151
1,900,win,0.0
1,900,draw,0.94
1,900,loss,0.002000936074182391
1,1000,win,0.0
1,1000,draw,0.9
1,1000,loss,0.0018470499198883772
1,1100,win,0.0
1,1100,draw,0.92
1,1100,loss,0.0014930075267329812
1,1200,win,0.0
1,1200,draw,0.89
1,1200,loss,0.0012706289999186993
1,1300,win,0.0
1,1300,draw,0.83
1,1300,loss,0.0007905673119239509
1,1400,win,0.0
1,1400,draw,0.96
1,1400,loss,0.001357256667688489
1,1500,win,0.0
1,1500,draw,0.92
1,1500,loss,0.0011219270527362823
1,1600,win,0.0
1,1600,draw,0.91
1,1600,loss,0.0007840393809601665
1,1700,win,0.0
1,1700,draw,0.83
1,1700,loss,0.0006371664348989725
1,1800,win,0.0
1,1800,draw,0.88
1,1800,loss,0.001663394272327423
1,1900,win,0.0
1,1900,draw,0.87
1,1900,loss,0.0015656258910894394
1,2000,win,0.0
1,2000,draw,0.87
1,2000,loss,0.0019234385108575225
1,2100,win,0.0
1,2100,draw,0.93
1,2100,loss,0.001406193943694234
1,2200,win,0.0
1,2200,draw,0.94
1,2200,loss,0.0015900109428912401
1,2300,win,0.0
1,2300,draw,0.98
1,2300,loss,0.001947416691109538
1,2400,win,0.0
1,2400,draw,0.88
1,2400,loss,0.0012083619367331266
1,2500,win,0.0
1,2500,draw,0.97
1,2500,loss,0.0010763739701360464
1,2600,win,0.0
1,2600,draw,0.98
1,2600,loss,0.0005931154591962695
1,2700,win,0.0
1,2700,draw,0.99
1,2700,loss,0.0006932123214937747
1,2800,win,0.0
1,2800,draw,0.93
1,2800,loss,0.0005900230025872588
1,2900,win,0.0
1,2900,draw,0.96
1,2900,loss,0.0006970301037654281
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.12
2,200,win,0.0
2,200,draw,0.08
2,300,win,0.0
2,300,draw,0.08
2,400,win,0.0
2,400,draw,0.14
2,400,loss,0.002529893536120653
2,500,win,0.0
2,500,draw,0.18
2,500,loss,0.0028937621973454952
2,600,win,0.0
2,600,draw,0.43
2,600,loss,0.0036227144300937653
2,700,win,0.0
2,700,draw,0.62
2,700,loss,0.0035969146993011236
2,800,win,0.0
2,800,draw,0.77
2,800,loss,0.0036916546523571014
2,900,win,0.0
2,900,draw,0.74
2,900,loss,0.004716494120657444
2,1000,win,0.0
2,1000,draw,0.75
2,1000,loss,0.004278003238141537
2,1100,win,0.0
2,1100,draw,0.82
2,1100,loss,0.0031932885758578777
2,1200,win,0.0
2,1200,draw,0.74
2,1200,loss,0.003227066248655319
2,1300,win,0.0
2,1300,draw,0.93
2,1300,loss,0.0011992035433650017
2,1400,win,0.0
2,1400,draw,0.94
2,1400,loss,0.0025362432934343815
2,1500,win,0.0
2,1500,draw,0.92
2,1500,loss,0.002561863511800766
2,1600,win,0.0
2,1600,draw,0.95
2,1600,loss,0.002015364356338978
2,1700,win,0.0
2,1700,draw,0.96
2,1700,loss,0.002121089259162545
2,1800,win,0.0
2,1800,draw,0.95
2,1800,loss,0.0022794464603066444
2,1900,win,0.0
2,1900,draw,0.97
2,1900,loss,0.0018523895414546132
2,2000,win,0.0
2,2000,draw,0.94
2,2000,loss,0.0013152712490409613
2,2100,win,0.0
2,2100,draw,0.97
2,2100,loss,0.0010276313405483961
2,2200,win,0.0
2,2200,draw,0.98
2,2200,loss,0.0016468657413497567
2,2300,win,0.0
2,2300,draw,0.97
2,2300,loss,0.0009679596405476332
2,2400,win,0.0
2,2400,draw,0.95
2,2400,loss,0.0010677663376554847
2,2500,win,0.0
2,2500,draw,0.97
2,2500,loss,0.0011555706150829792
2,2600,win,0.0
2,2600,draw,0.96
2,2600,loss,0.001962069422006607
2,2700,win,0.0
2,2700,draw,0.99
2,2700,loss,0.0008248364320024848
2,2800,win,0.0
2,2800,draw,0.94
2,2800,loss,0.0006344121647998691
2,2900,win,0.0
2,2900,draw,0.99
2,2900,loss,0.0006646031979471445
3,0,win,0.0
3,0,draw,0.14
3,100,win,0.0
3,100,draw,0.18
3,200,win,0.0
3,200,draw,0.09
3,300,win,0.0
3,300,draw,0.08
3,400,win,0.0
3,400,draw,0.22
3,400,loss,0.003111203433945775
3,500,win,0.0
3,500,draw,0.65
3,500,loss,0.0024273060262203217
3,600,win,0.0
3,600,draw,0.69
3,600,loss,0.0024041675496846437
3,700,win,0.0
3,700,draw,0.76
3,700,loss,0.0029593389481306076
3,800,win,0.0
3,800,draw,0.88
3,800,loss,0.0010918636107817292
3,900,win,0.0
3,900,draw,0.86
3,900,loss,0.0017833741148933768
3,1000,win,0.0
3,1000,draw,0.85
3,1000,loss,0.00481604365631938
3,1100,win,0.0
3,1100,draw,0.87
3,1100,loss,0.0027657472528517246
