seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.05
0,100,win,0.0
0,100,draw,0.02
0,200,win,0.0
0,200,draw,0.05
0,300,win,0.0
0,300,draw,0.04
0,400,win,0.0
0,400,draw,0.14
0,400,loss,0.0023821890354156494
0,500,win,0.0
0,500,draw,0.13
0,500,loss,0.001691098092123866
0,600,win,0.0
0,600,draw,0.29
0,600,loss,0.0019362904131412506
0,700,win,0.0
0,700,draw,0.33
0,700,loss,0.002429475076496601
0,800,win,0.0
0,800,draw,0.48
0,800,loss,0.002971983514726162
0,900,win,0.0
0,900,draw,0.65
0,900,loss,0.0020075859501957893
0,1000,win,0.0
0,1000,draw,0.83
0,1000,loss,0.0025971531867980957
0,1100,win,0.0
0,1100,draw,0.86
0,1100,loss,0.0026645008474588394
0,1200,win,0.0
0,1200,draw,0.82
0,1200,loss,0.0023307292722165585
0,1300,win,0.0
0,1300,draw,0.82
0,1300,loss,0.0018329713493585587
0,1400,win,0.0
0,1400,draw,0.82
0,1400,loss,0.001640589558519423
0,1500,win,0.0
0,1500,draw,0.89
0,1500,loss,0.0019175910856574774
0,1600,win,0.0
0,1600,draw,0.93
0,1600,loss,0.0023887529969215393
0,1700,win,0.0
0,1700,draw,0.89
0,1700,loss,0.0019535799510776997
0,1800,win,0.0
0,1800,draw,0.91
0,1800,loss,0.0021041342988610268
0,1900,win,0.0
0,1900,draw,0.91
0,1900,loss,0.0013168774312362075
0,2000,win,0.0
0,2000,draw,0.9
0,2000,loss,0.0011967313475906849
0,2100,win,0.0
0,2100,draw,0.98
0,2100,loss,0.0011689821258187294
0,2200,win,0.0
0,2200,draw,0.99
0,2200,loss,0.001126808114349842
0,2300,win,0.0
0,2300,draw,0.93
0,2300,loss,0.002074876334518194
0,2400,win,0.0
0,2400,draw,0.99
0,2400,loss,0.0011015275958925486
0,2500,win,0.0
0,2500,draw,0.97
0,2500,loss,0.001005650730803609
0,2600,win,0.0
0,2600,draw,0.97
0,2600,loss,0.00088040332775563
0,2700,win,0.0
0,2700,draw,0.98
0,2700,loss,0.0011782803339883685
0,2800,win,0.0
0,2800,draw,0.99
0,2800,loss,0.0007560722297057509
0,2900,win,0.0
0,2900,draw,0.99
0,2900,loss,0.0013492968864738941
1,0,win,0.0
1,0,draw,0.09
1,100,win,0.0
1,100,draw,0.14
1,200,win,0.0
1,200,draw,0.1
1,300,win,0.0
1,300,draw,0.1
1,400,win,0.0
1,400,draw,0.22
1,400,loss,0.002241486683487892
1,500,win,0.0
1,500,draw,0.47
1,500,loss,0.0017004539258778095
1,600,win,0.0
1,600,draw,0.57
1,600,loss,0.002175566740334034
1,700,win,0.0
1,700,draw,0.8
1,700,loss,0.0025147050619125366
1,800,win,0.0
1,800,draw,0.74
1,800,loss,0.0022960605565458536
1,900,win,0.0
1,900,draw,0.79
1,900,loss,0.00251551391556859
1,1000,win,0.0
1,1000,draw,0.91
1,1000,loss,0.0015527104260399938
1,1100,win,0.0
1,1100,draw,0.86
1,1100,loss,0.0013449303805828094
1,1200,win,0.0
1,1200,draw,0.91
1,1200,loss,0.0012171735288575292
1,1300,win,0.0
1,1300,draw,0.9
1,1300,loss,0.001486731693148613
1,1400,win,0.0
1,1400,draw,0.88
1,1400,loss,0.0011534725781530142
1,1500,win,0.0
1,1500,draw,0.89
1,1500,loss,0.0011034943163394928
1,1600,win,0.0
1,1600,draw,0.91
1,1600,loss,0.0016037998721003532
1,1700,win,0.0
1,1700,draw,0.87
1,1700,loss,0.001510790316388011
1,1800,win,0.0
1,1800,draw,0.92
1,1800,loss,0.0006956663564778864
1,1900,win,0.0
1,1900,draw,0.87
1,1900,loss,0.0020545455627143383
1,2000,win,0.0
1,2000,draw,0.87
1,2000,loss,0.0004209970938973129
1,2100,win,0.0
1,2100,draw,0.93
1,2100,loss,0.0010670667979866266
1,2200,win,0.0
1,2200,draw,0.92
1,2200,loss,0.0009679182549007237
1,2300,win,0.0
1,2300,draw,0.89
1,2300,loss,0.0015641895588487387
1,2400,win,0.0
1,2400,draw,0.95
1,2400,loss,0.0009035310940816998
1,2500,win,0.0
1,2500,draw,0.94
1,2500,loss,0.0017386185936629772
1,2600,win,0.0
1,2600,draw,0.91
1,2600,loss,0.0013536987826228142
1,2700,win,0.0
1,2700,draw,0.98
1,2700,loss,0.0014000963419675827
1,2800,win,0.0
1,2800,draw,0.79
1,2800,loss,0.001161770662292838
1,2900,win,0.0
1,2900,draw,0.88
1,2900,loss,0.0016056107124313712
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.12
2,200,win,0.0
2,200,draw,0.08
2,300,win,0.0
2,300,draw,0.08
2,400,win,0.0
2,400,draw,0.1
2,400,loss,0.00351289426907897
2,500,win,0.0
2,500,draw,0.21
2,500,loss,0.0024161930195987225
2,600,win,0.0
2,600,draw,0.15
2,600,loss,0.0021983657497912645
2,700,win,0.0
2,700,draw,0.37
2,700,loss,0.0027161906473338604
2,800,win,0.0
2,800,draw,0.66
2,800,loss,0.002269304823130369
2,900,win,0.0
2,900,draw,0.74
2,900,loss,0.001964416354894638
2,1000,win,0.0
2,1000,draw,0.79
2,1000,loss,0.0017406903207302094
2,1100,win,0.0
2,1100,draw,0.77
2,1100,loss,0.0019328255439177155
2,1200,win,0.0
2,1200,draw,0.83
2,1200,loss,0.0018934158142656088
2,1300,win,0.0
2,1300,draw,0.9
2,1300,loss,0.0016308593330904841
2,1400,win,0.0
2,1400,draw,0.91
2,1400,loss,0.0013889619149267673
2,1500,win,0.0
2,1500,draw,0.91
2,1500,loss,0.001414507394656539
2,1600,win,0.0
2,1600,draw,0.94
2,1600,loss,0.0010405334178358316
2,1700,win,0.0
2,1700,draw,0.87
2,1700,loss,0.0017042107647284865
2,1800,win,0.0
2,1800,draw,0.93
2,1800,loss,0.0012043971801176667
2,1900,win,0.0
2,1900,draw,0.94
2,1900,loss,0.002014350611716509
2,2000,win,0.0
2,2000,draw,0.95
2,2000,loss,0.0007815139833837748
2,2100,win,0.0
2,2100,draw,0.98
2,2100,loss,0.0009129751706495881
2,2200,win,0.0
2,2200,draw,0.99
2,2200,loss,0.0005251462571322918
2,2300,win,0.0
2,2300,draw,0.97
2,2300,loss,0.0007559033110737801
2,2400,win,0.0
2,2400,draw,1.0
2,2400,loss,0.0007250611088238657
2,2500,win,0.0
2,2500,draw,1.0
2,2500,loss,0.0010929401032626629
2,2600,win,0.0
2,2600,draw,1.0
2,2600,loss,0.0006635714089497924
2,2700,win,0.0
2,2700,draw,1.0
2,2700,loss,0.0007430348778143525
2,2800,win,0.0
2,2800,draw,1.0
2,2800,loss,0.0006469921208918095
2,2900,win,0.0
2,2900,draw,1.0
2,2900,loss,0.0010068827541545033
3,0,win,0.0
3,0,draw,0.14
3,100,win,0.0
3,100,draw,0.18
3,200,win,0.0
3,200,draw,0.09
3,300,win,0.0
3,300,draw,0.08
3,400,win,0.0
3,400,draw,0.1
3,400,loss,0.00261444179341197
3,500,win,0.0
3,500,draw,0.38
3,500,loss,0.0016534553142264485
3,600,win,0.0
3,600,draw,0.48
3,600,loss,0.002912788186222315
3,700,win,0.0
3,700,draw,0.58
3,700,loss,0.0032653333619236946
3,800,win,0.0
3,800,draw,0.56
3,800,loss,0.003422606736421585
3,900,win,0.0
3,900,draw,0.76
3,900,loss,0.0022345592733472586
3,1000,win,0.0
3,1000,draw,0.81
3,1000,loss,0.0022538045886904
3,1100,win,0.0
3,1100,draw,0.86
3,1100,loss,0.002007801551371813
