seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.0
0,100,win,0.0
0,100,draw,0.0
0,200,win,0.0
0,200,draw,0.0
0,300,win,0.0
0,300,draw,0.03
0,400,win,0.0
0,400,draw,0.13
0,400,loss,0.0016149058938026428
0,500,win,0.0
0,500,draw,0.3
0,500,loss,0.0018360312096774578
0,600,win,0.0
0,600,draw,0.57
0,600,loss,0.0018100746674463153
0,700,win,0.0
0,700,draw,0.89
0,700,loss,0.0018443691078573465
0,800,win,0.0
0,800,draw,0.95
0,800,loss,0.0015188280958682299
0,900,win,0.0
0,900,draw,0.97
0,900,loss,0.0017663072794675827
0,1000,win,0.0
0,1000,draw,0.91
0,1000,loss,0.0015584008069708943
0,1100,win,0.0
0,1100,draw,0.94
0,1100,loss,0.0010955689940601587
0,1200,win,0.0
0,1200,draw,1.0
0,1200,loss,0.0008998188422992826
0,1300,win,0.0
0,1300,draw,1.0
0,1300,loss,0.0007438100874423981
0,1400,win,0.0
0,1400,draw,0.98
0,1400,loss,0.0006306450814008713
0,1500,win,0.0
0,1500,draw,0.99
0,1500,loss,0.0006750610191375017
0,1600,win,0.0
0,1600,draw,1.0
0,1600,loss,0.0007586352294310927
0,1700,win,0.0
0,1700,draw,0.95
0,1700,loss,0.0007597948424518108
0,1800,win,0.0
0,1800,draw,0.98
0,1800,loss,0.001607902580872178
0,1900,win,0.0
0,1900,draw,1.0
0,1900,loss,0.0004611845361068845
0,2000,win,0.0
0,2000,draw,1.0
0,2000,loss,0.0005013241898268461
0,2100,win,0.0
0,2100,draw,1.0
0,2100,loss,0.00026939864619635046
0,2200,win,0.0
0,2200,draw,1.0
0,2200,loss,0.0005536781973205507
0,2300,win,0.0
0,2300,draw,1.0
0,2300,loss,0.0006329506286419928
0,2400,win,0.0
0,2400,draw,1.0
0,2400,loss,0.0006687100976705551
0,2500,win,0.0
0,2500,draw,1.0
0,2500,loss,0.0002190576633438468
0,2600,win,0.0
0,2600,draw,1.0
0,2600,loss,0.0006619896739721298
0,2700,win,0.0
0,2700,draw,0.98
0,2700,loss,0.0006909542717039585
0,2800,win,0.0
0,2800,draw,1.0
0,2800,loss,0.00042916194070130587
0,2900,win,0.0
0,2900,draw,1.0
0,2900,loss,0.0005598521092906594
1,0,win,0.0
1,0,draw,0.02
1,100,win,0.0
1,100,draw,0.0
1,200,win,0.0
1,200,draw,0.03
1,300,win,0.0
1,300,draw,0.0
1,400,win,0.0
1,400,draw,0.05
1,400,loss,0.0014040570240467787
1,500,win,0.0
1,500,draw,0.18
1,500,loss,0.0008977376855909824
1,600,win,0.0
1,600,draw,0.33
1,600,loss,0.0031963877845555544
1,700,win,0.0
1,700,draw,0.46
1,700,loss,0.0016284803859889507
1,800,win,0.0
1,800,draw,0.89
1,800,loss,0.0017192531377077103
1,900,win,0.0
1,900,draw,0.94
1,900,loss,0.0008240416063927114
1,1000,win,0.0
1,1000,draw,0.97
1,1000,loss,0.0008618835709057748
1,1100,win,0.0
1,1100,draw,0.98
1,1100,loss,0.0012369619216769934
1,1200,win,0.0
1,1200,draw,0.95
1,1200,loss,0.00079485890455544
1,1300,win,0.0
1,1300,draw,0.97
1,1300,loss,0.0006176152965053916
1,1400,win,0.0
1,1400,draw,0.99
1,1400,loss,0.0009463021997362375
1,1500,win,0.0
