seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.11
0,400,win,0.0
0,400,draw,0.04
0,400,loss,0.0025637997314333916
0,500,win,0.0
0,500,draw,0.25
0,500,loss,0.0011834744364023209
0,600,win,0.0
0,600,draw,0.55
0,600,loss,0.0008284654468297958
0,700,win,0.0
0,700,draw,0.66
0,700,loss,0.001103521091863513
0,800,win,0.0
0,800,draw,0.87
0,800,loss,0.0007845343207009137
0,900,win,0.0
0,900,draw,0.9
0,900,loss,0.0010855396976694465
0,1000,win,0.0
0,1000,draw,0.92
0,1000,loss,0.0005600459408015013
0,1100,win,0.0
0,1100,draw,0.91
0,1100,loss,0.0005094495136290789
0,1200,win,0.0
0,1200,draw,0.88
0,1200,loss,0.0002971913490910083
0,1300,win,0.0
0,1300,draw,0.9
0,1300,loss,0.0002345458051422611
0,1400,win,0.0
0,1400,draw,0.94
0,1400,loss,0.0001698673004284501
0,1500,win,0.0
0,1500,draw,0.92
0,1500,loss,0.0003630410647019744
0,1600,win,0.0
0,1600,draw,0.94
0,1600,loss,0.00018966017523780465
0,1700,win,0.0
0,1700,draw,0.93
0,1700,loss,0.00016568307182751596
0,1800,win,0.0
0,1800,draw,0.93
0,1800,loss,0.00035783942439593375
0,1900,win,0.0
0,1900,draw,0.93
0,1900,loss,0.0002827872522175312
0,2000,win,0.0
0,2000,draw,1.0
0,2000,loss,0.0002131495566572994
0,2100,win,0.0
0,2100,draw,0.96
0,2100,loss,0.00017890687740873545
0,2200,win,0.0
0,2200,draw,0.93
0,2200,loss,9.531955583952367e-05
0,2300,win,0.0
0,2300,draw,0.98
0,2300,loss,9.863525338005275e-05
0,2400,win,0.0
0,2400,draw,1.0
0,2400,loss,0.00038081564707681537
0,2500,win,0.0
0,2500,draw,0.97
0,2500,loss,0.00014416332123801112
0,2600,win,0.0
0,2600,draw,0.96
0,2600,loss,6.463074532803148e-05
0,2700,win,0.0
0,2700,draw,0.91
0,2700,loss,0.00014748125977348536
0,2800,win,0.0
0,2800,draw,0.95
0,2800,loss,0.00016234052600339055
0,2900,win,0.0
0,2900,draw,0.97
0,2900,loss,7.002412166912109e-05
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.09
1,400,loss,0.0018078758148476481
1,500,win,0.0
1,500,draw,0.22
1,500,loss,0.0014801989309489727
1,600,win,0.0
1,600,draw,0.48
1,600,loss,0.001302959630265832
1,700,win,0.0
1,700,draw,0.56
1,700,loss,0.0006226366385817528
1,800,win,0.0
1,800,draw,0.67
1,800,loss,0.0008466572617180645
1,900,win,0.0
1,900,draw,0.71
1,900,loss,0.0005433051846921444
1,1000,win,0.0
1,1000,draw,0.78
1,1000,loss,0.0009158507455140352
1,1100,win,0.0
1,1100,draw,0.86
1,1100,loss,0.0008557662949897349
1,1200,win,0.0
1,1200,draw,0.89
1,1200,loss,0.000399959011701867
1,1300,win,0.0
1,1300,draw,0.93
1,1300,loss,0.00032678269781172276
1,1400,win,0.0
1,1400,draw,0.92
1,1400,loss,0.00029319425811991096
1,1500,win,0.0
1,1500,draw,0.92
1,1500,loss,0.00027396384393796325
1,1600,win,0.0
1,1600,draw,0.96
1,1600,loss,0.00021646893583238125
1,1700,win,0.0
1,1700,draw,0.93
1,1700,loss,0.000322522537317127
1,1800,win,0.0
1,1800,draw,0.96
1,1800,loss,9.065290214493871e-05
1,1900,win,0.0
1,1900,draw,0.93
1,1900,loss,0.0001956968626473099
1,2000,win,0.0
1,2000,draw,0.98
1,2000,loss,0.00015506362251471728
1,2100,win,0.0
1,2100,draw,0.94
1,2100,loss,0.00023616866383235902
1,2200,win,0.0
1,2200,draw,0.98
1,2200,loss,4.203411299386062e-05
1,2300,win,0.0
1,2300,draw,0.97
1,2300,loss,0.00016879383474588394
1,2400,win,0.0
1,2400,draw,0.93
1,2400,loss,0.0002453094348311424
1,2500,win,0.0
1,2500,draw,1.0
1,2500,loss,0.00016467839304823428
1,2600,win,0.0
1,2600,draw,0.98
1,2600,loss,0.00027935917023569345
1,2700,win,0.0
1,2700,draw,0.98
1,2700,loss,0.00024190441763494164
1,2800,win,0.0
1,2800,draw,0.99
1,2800,loss,0.00014846117119304836
1,2900,win,0.0
1,2900,draw,0.99
1,2900,loss,0.00015407236060127616
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.07
2,400,loss,0.0029686582274734974
2,500,win,0.0
2,500,draw,0.17
2,500,loss,0.0009432921069674194
2,600,win,0.0
2,600,draw,0.36
2,600,loss,0.000691352179273963
2,700,win,0.0
2,700,draw,0.68
2,700,loss,0.0006345848669297993
2,800,win,0.0
2,800,draw,0.75
2,800,loss,0.0004250450583640486
2,900,win,0.0
2,900,draw,0.81
2,900,loss,0.0007077940972521901
2,1000,win,0.0
2,1000,draw,0.82
2,1000,loss,0.0006321818218566477
2,1100,win,0.0
2,1100,draw,0.86
2,1100,loss,0.0004304083122406155
2,1200,win,0.0
2,1200,draw,0.89
2,1200,loss,0.0005400825757533312
2,1300,win,0.0
2,1300,draw,0.89
2,1300,loss,0.00039680450572632253
2,1400,win,0.0
2,1400,draw,0.92
2,1400,loss,0.00025652736076153815
2,1500,win,0.0
2,1500,draw,0.86
2,1500,loss,0.0004370521055534482
2,1600,win,0.0
2,1600,draw,0.9
2,1600,loss,0.00030313199386000633
2,1700,win,0.0
2,1700,draw,0.9
2,1700,loss,0.00028782355366274714
2,1800,win,0.0
2,1800,draw,0.87
2,1800,loss,0.0001480346982134506
2,1900,win,0.0
2,1900,draw,0.87
2,1900,loss,0.00019945306121371686
2,2000,win,0.0
2,2000,draw,0.83
2,2000,loss,0.00021437008399516344
2,2100,win,0.0
2,2100,draw,0.88
2,2100,loss,0.0002111623325617984
2,2200,win,0.0
2,2200,draw,0.91
2,2200,loss,0.00017763025243766606
2,2300,win,0.0
2,2300,draw,0.92
2,2300,loss,0.000129870226373896
2,2400,win,0.0
2,2400,draw,0.96
2,2400,loss,0.00010466562525834888
2,2500,win,0.0
2,2500,draw,0.95
2,2500,loss,0.00015691376756876707
2,2600,win,0.0
2,2600,draw,0.95
2,2600,loss,0.00010833083069883287
2,2700,win,0.0
2,2700,draw,0.84
2,2700,loss,0.00010147326975129545
2,2800,win,0.0
2,2800,draw,0.98
2,2800,loss,0.00014640195877291262
2,2900,win,0.0
2,2900,draw,0.99
2,2900,loss,0.00016147879068739712
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.03
3,400,loss,0.004386951215565205
3,500,win,0.0
3,500,draw,0.1
3,500,loss,0.0012440267018973827
3,600,win,0.0
3,600,draw,0.3
3,600,loss,0.0013833187986165285
3,700,win,0.0
3,700,draw,0.43
3,700,loss,0.0009600002085790038
3,800,win,0.0
3,800,draw,0.61
3,800,loss,0.001464954111725092
3,900,win,0.0
3,900,draw,0.71
3,900,loss,0.0006933215772733092
3,1000,win,0.0
3,1000,draw,0.82
3,1000,loss,0.0012195301242172718
3,1100,win,0.0
3,1100,draw,0.78
3,1100,loss,0.000659117242321372
3,1200,win,0.0
3,1200,draw,0.71
3,1200,loss,0.0008651012321934104
3,1300,win,0.0
3,1300,draw,0.81
3,1300,loss,0.0006533156847581267
3,1400,win,0.0
3,1400,draw,0.87
3,1400,loss,0.0005863108672201633
3,1500,win,0.0
3,1500,draw,0.88
3,1500,loss,0.0003238371282350272
3,1600,win,0.0
3,1600,draw,0.87
3,1600,loss,0.00015449943020939827
3,1700,win,0.0
3,1700,draw,0.83
3,1700,loss,0.00013159596710465848
3,1800,win,0.0
3,1800,draw,0.94
3,1800,loss,0.00023571591009385884
3,1900,win,0.0
3,1900,draw,0.94
3,1900,loss,0.00015451271610800177
3,2000,win,0.0
3,2000,draw,0.92
3,2000,loss,0.00010783522156998515
3,2100,win,0.0
3,2100,draw,0.94
3,2100,loss,0.0001960450317710638
3,2200,win,0.0
3,2200,draw,0.85
3,2200,loss,3.4504068025853485e-05
3,2300,win,0.0
3,2300,draw,0.88
3,2300,loss,0.00018271899898536503
3,2400,win,0.0
3,2400,draw,0.91
3,2400,loss,5.590502769337036e-05
3,2500,win,0.0
3,2500,draw,0.88
3,2500,loss,3.4707540180534124e-05
3,2600,win,0.0
3,2600,draw,0.94
3,2600,loss,8.084610453806818e-05
3,2700,win,0.0
3,2700,draw,0.94
3,2700,loss,0.00011913056368939579
3,2800,win,0.0
3,2800,draw,0.98
3,2800,loss,0.00020272824622225016
3,2900,win,0.0
3,2900,draw,0.95
3,2900,loss,6.023235619068146e-05
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.02
4,400,loss,0.0032286038622260094
4,500,win,0.0
4,500,draw,0.09
4,500,loss,0.0013294840464368463
4,600,win,0.0
4,600,draw,0.2
4,600,loss,0.0005191894015297294
4,700,win,0.0
4,700,draw,0.33
4,700,loss,0.0009272291208617389
4,800,win,0.0
4,800,draw,0.59
4,800,loss,0.0008843957912176847
4,900,win,0.0
4,900,draw,0.64
4,900,loss,0.0008865210693329573
4,1000,win,0.0
4,1000,draw,0.75
4,1000,loss,0.0004479509370867163
4,1100,win,0.0
4,1100,draw,0.79
4,1100,loss,0.0005444245180115104
4,1200,win,0.0
4,1200,draw,0.91
4,1200,loss,0.0002860424283426255
4,1300,win,0.0
4,1300,draw,1.0
