seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.11
0,400,win,0.0
0,400,draw,0.07
0,400,loss,0.0022323678713291883
0,500,win,0.0
0,500,draw,0.29
0,500,loss,0.0007269238703884184
0,600,win,0.0
0,600,draw,0.41
0,600,loss,0.0007685782038606703
0,700,win,0.0
0,700,draw,0.66
0,700,loss,0.0005724062793888152
0,800,win,0.0
0,800,draw,0.75
0,800,loss,0.0005548559129238129
0,900,win,0.0
0,900,draw,0.74
0,900,loss,0.00017371357535012066
0,1000,win,0.0
0,1000,draw,0.89
0,1000,loss,0.00020550978661049157
0,1100,win,0.0
0,1100,draw,0.9
0,1100,loss,0.00018874372472055256
0,1200,win,0.0
0,1200,draw,0.93
0,1200,loss,0.0002587182680144906
0,1300,win,0.0
0,1300,draw,0.95
0,1300,loss,9.14928677957505e-05
0,1400,win,0.0
0,1400,draw,0.96
0,1400,loss,0.0001690564095042646
0,1500,win,0.0
0,1500,draw,0.94
0,1500,loss,0.00016076098836492747
0,1600,win,0.0
0,1600,draw,0.97
0,1600,loss,0.00019880116451531649
0,1700,win,0.0
0,1700,draw,0.92
0,1700,loss,0.00015401568089146167
0,1800,win,0.0
0,1800,draw,0.93
0,1800,loss,1.3168336408853065e-05
0,1900,win,0.0
0,1900,draw,0.94
0,1900,loss,9.929845691658556e-05
0,2000,win,0.0
0,2000,draw,0.97
0,2000,loss,7.462765643140301e-05
0,2100,win,0.0
0,2100,draw,0.97
0,2100,loss,6.25544780632481e-05
0,2200,win,0.0
0,2200,draw,0.94
0,2200,loss,8.692656410858035e-05
0,2300,win,0.0
0,2300,draw,0.97
0,2300,loss,7.367094076471403e-05
0,2400,win,0.0
0,2400,draw,0.97
0,2400,loss,9.995302389143035e-05
0,2500,win,0.0
0,2500,draw,0.96
0,2500,loss,4.7251021896954626e-05
0,2600,win,0.0
0,2600,draw,0.96
0,2600,loss,3.5383251088205725e-05
0,2700,win,0.0
0,2700,draw,0.99
0,2700,loss,4.7713554522488266e-05
0,2800,win,0.0
0,2800,draw,0.98
0,2800,loss,0.00011475406063254923
0,2900,win,0.0
0,2900,draw,0.94
0,2900,loss,4.347414505900815e-05
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.1
1,400,loss,0.0013048227410763502
1,500,win,0.0
1,500,draw,0.32
1,500,loss,0.00025346752954646945
1,600,win,0.0
1,600,draw,0.46
1,600,loss,0.00043275486677885056
1,700,win,0.0
1,700,draw,0.64
1,700,loss,0.0004915681201964617
1,800,win,0.0
1,800,draw,0.73
1,800,loss,0.0005420188535936177
1,900,win,0.0
1,900,draw,0.82
1,900,loss,0.0004220937844365835
1,1000,win,0.0
1,1000,draw,0.85
1,1000,loss,0.00025484259822405875
1,1100,win,0.0
1,1100,draw,0.91
1,1100,loss,0.00017042554100044072
1,1200,win,0.0
1,1200,draw,0.81
1,1200,loss,0.00018703207024373114
1,1300,win,0.0
1,1300,draw,0.88
1,1300,loss,0.00025890112738125026
1,1400,win,0.0
1,1400,draw,0.9
1,1400,loss,0.00019331526709720492
1,1500,win,0.0
1,1500,draw,0.87
1,1500,loss,0.00030497799161821604
1,1600,win,0.0
1,1600,draw,0.86
1,1600,loss,0.00012312535545788705
1,1700,win,0.0
1,1700,draw,0.92
1,1700,loss,0.00013615489297080785
1,1800,win,0.0
1,1800,draw,0.91
1,1800,loss,6.856166874058545e-05
1,1900,win,0.0
1,1900,draw,0.97
1,1900,loss,9.614162263460457e-05
1,2000,win,0.0
1,2000,draw,0.96
1,2000,loss,5.8451278164284304e-05
1,2100,win,0.0
1,2100,draw,0.98
1,2100,loss,0.00010175794886890799
1,2200,win,0.0
1,2200,draw,0.95
1,2200,loss,6.55559852020815e-05
1,2300,win,0.0
1,2300,draw,0.97
1,2300,loss,8.5190731624607e-05
1,2400,win,0.0
1,2400,draw,0.99
1,2400,loss,0.00010613880294840783
1,2500,win,0.0
1,2500,draw,0.94
1,2500,loss,5.1861556130461395e-05
1,2600,win,0.0
1,2600,draw,0.95
1,2600,loss,9.697652421891689e-05
1,2700,win,0.0
1,2700,draw,0.97
1,2700,loss,0.00014156659017316997
1,2800,win,0.0
1,2800,draw,0.97
1,2800,loss,3.117076266789809e-05
1,2900,win,0.0
1,2900,draw,0.99
1,2900,loss,0.0002132733352482319
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.04
2,400,loss,0.0019271682249382138
2,500,win,0.0
2,500,draw,0.18
2,500,loss,0.0006552028353326023
2,600,win,0.0
2,600,draw,0.43
2,600,loss,0.0002616519923321903
2,700,win,0.0
2,700,draw,0.54
2,700,loss,5.822995080961846e-05
2,800,win,0.0
2,800,draw,0.76
2,800,loss,0.0005212608957663178
2,900,win,0.0
2,900,draw,0.84
2,900,loss,0.00039603671757504344
2,1000,win,0.0
2,1000,draw,0.81
2,1000,loss,0.0005952782230451703
2,1100,win,0.0
2,1100,draw,0.93
2,1100,loss,0.00016778323333710432
2,1200,win,0.0
2,1200,draw,0.95
2,1200,loss,0.0005018239608034492
2,1300,win,0.0
2,1300,draw,0.94
2,1300,loss,0.0001821063633542508
2,1400,win,0.0
2,1400,draw,0.92
2,1400,loss,0.0001604329445399344
2,1500,win,0.0
2,1500,draw,0.92
2,1500,loss,0.00022293676738627255
2,1600,win,0.0
2,1600,draw,0.96
2,1600,loss,0.0002006123831961304
2,1700,win,0.0
2,1700,draw,0.98
2,1700,loss,6.345807196339592e-05
2,1800,win,0.0
2,1800,draw,0.96
2,1800,loss,7.359789742622524e-05
2,1900,win,0.0
2,1900,draw,0.97
2,1900,loss,0.0001247684413101524
2,2000,win,0.0
2,2000,draw,0.98
2,2000,loss,3.4065051295328885e-05
2,2100,win,0.0
2,2100,draw,1.0
2,2100,loss,0.00011265288048889488
2,2200,win,0.0
2,2200,draw,0.98
2,2200,loss,0.00010772513633128256
2,2300,win,0.0
2,2300,draw,0.97
2,2300,loss,0.00010960787767544389
2,2400,win,0.0
2,2400,draw,0.96
2,2400,loss,0.0001393340789945796
2,2500,win,0.0
2,2500,draw,0.97
2,2500,loss,4.650524351745844e-05
2,2600,win,0.0
2,2600,draw,0.98
2,2600,loss,7.5920281233266e-05
2,2700,win,0.0
2,2700,draw,0.97
2,2700,loss,0.00010415084398118779
2,2800,win,0.0
2,2800,draw,0.97
2,2800,loss,2.6325415092287585e-05
2,2900,win,0.0
2,2900,draw,0.98
2,2900,loss,9.161353955278173e-05
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.08
3,400,loss,0.0027758534997701645
3,500,win,0.0
3,500,draw,0.09
3,500,loss,0.0006118864985182881
3,600,win,0.0
3,600,draw,0.33
3,600,loss,0.0007253726944327354
3,700,win,0.0
3,700,draw,0.49
3,700,loss,0.0006973798735998571
3,800,win,0.0
3,800,draw,0.59
3,800,loss,0.0005135755054652691
3,900,win,0.0
3,900,draw,0.81
3,900,loss,0.000391872541513294
3,1000,win,0.0
3,1000,draw,0.79
3,1000,loss,0.00044873490696772933
3,1100,win,0.0
3,1100,draw,0.89
3,1100,loss,0.00023445364786311984
3,1200,win,0.0
3,1200,draw,0.73
3,1200,loss,0.0002838815562427044
3,1300,win,0.0
3,1300,draw,0.78
3,1300,loss,0.00014671696408186108
3,1400,win,0.0
3,1400,draw,0.83
3,1400,loss,0.00029307391378097236
3,1500,win,0.0
3,1500,draw,0.8
3,1500,loss,0.00019037129823118448
3,1600,win,0.0
3,1600,draw,0.82
3,1600,loss,0.00020579644478857517
3,1700,win,0.0
3,1700,draw,0.78
3,1700,loss,0.00012237321061547846
3,1800,win,0.0
3,1800,draw,0.86
3,1800,loss,6.25244720140472e-05
3,1900,win,0.0
3,1900,draw,0.83
3,1900,loss,7.491388532798737e-05
3,2000,win,0.0
3,2000,draw,0.89
3,2000,loss,0.00013238766405265778
3,2100,win,0.0
3,2100,draw,0.94
3,2100,loss,0.0001289753126911819
3,2200,win,0.0
3,2200,draw,0.89
3,2200,loss,0.0001119252628996037
3,2300,win,0.0
3,2300,draw,0.9
3,2300,loss,6.230734288692474e-05
3,2400,win,0.0
3,2400,draw,0.86
3,2400,loss,2.8597889468073845e-05
3,2500,win,0.0
3,2500,draw,0.92
3,2500,loss,0.00011208246723981574
3,2600,win,0.0
3,2600,draw,0.96
3,2600,loss,9.489323565503582e-05
3,2700,win,0.0
3,2700,draw,0.92
3,2700,loss,8.081013220362365e-05
3,2800,win,0.0
3,2800,draw,0.91
3,2800,loss,7.161879329942167e-05
3,2900,win,0.0
3,2900,draw,0.95
3,2900,loss,5.313570727594197e-05
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.01
4,400,loss,0.0016204867279157043
4,500,win,0.0
4,500,draw,0.33
4,500,loss,0.0007617115043103695
4,600,win,0.0
4,600,draw,0.24
4,600,loss,0.00027142459293827415
4,700,win,0.0
4,700,draw,0.4
4,700,loss,0.00036063187872059643
4,800,win,0.0
4,800,draw,0.58
4,800,loss,0.0010281172581017017
4,900,win,0.0
4,900,draw,0.58
4,900,loss,0.00040138454642146826
4,1000,win,0.0
4,1000,draw,0.77
4,1000,loss,0.0003729674790520221
4,1100,win,0.0
4,1100,draw,0.87
4,1100,loss,0.0003105818759649992
4,1200,win,0.0
4,1200,draw,0.86
