seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.11
0,400,win,0.0
0,400,draw,0.07
0,400,loss,0.0007006452651694417
0,500,win,0.0
0,500,draw,0.18
0,500,loss,0.0003470630035735667
0,600,win,0.0
0,600,draw,0.32
0,600,loss,0.00022153399186208844
0,700,win,0.0
0,700,draw,0.43
0,700,loss,0.00047169975005090237
0,800,win,0.0
0,800,draw,0.67
0,800,loss,0.00011514258221723139
0,900,win,0.0
0,900,draw,0.92
0,900,loss,0.00031076252344064415
0,1000,win,0.0
0,1000,draw,0.89
0,1000,loss,0.0003453022218309343
0,1100,win,0.0
0,1100,draw,0.87
0,1100,loss,0.00034786283504217863
0,1200,win,0.0
0,1200,draw,0.88
0,1200,loss,1.4027065844857134e-05
0,1300,win,0.0
0,1300,draw,0.87
0,1300,loss,0.00010711523646023124
0,1400,win,0.0
0,1400,draw,0.92
0,1400,loss,4.673076909966767e-05
0,1500,win,0.0
0,1500,draw,0.84
0,1500,loss,6.068084985599853e-05
0,1600,win,0.0
0,1600,draw,0.91
0,1600,loss,3.841612851829268e-05
0,1700,win,0.0
0,1700,draw,0.86
0,1700,loss,5.773358861915767e-05
0,1800,win,0.0
0,1800,draw,0.93
0,1800,loss,7.21801261533983e-05
0,1900,win,0.0
0,1900,draw,0.89
0,1900,loss,0.00013873311399947852
0,2000,win,0.0
0,2000,draw,0.94
0,2000,loss,9.819197293836623e-05
0,2100,win,0.0
0,2100,draw,0.95
0,2100,loss,5.156502447789535e-05
0,2200,win,0.0
0,2200,draw,0.9
0,2200,loss,0.00011241556785535067
0,2300,win,0.0
0,2300,draw,0.92
0,2300,loss,5.781114305136725e-05
0,2400,win,0.0
0,2400,draw,0.96
0,2400,loss,9.352754568681121e-05
0,2500,win,0.0
0,2500,draw,0.99
0,2500,loss,3.724936686921865e-05
0,2600,win,0.0
0,2600,draw,0.95
0,2600,loss,7.42089468985796e-05
0,2700,win,0.0
0,2700,draw,0.95
0,2700,loss,9.080905874725431e-05
0,2800,win,0.0
0,2800,draw,0.96
0,2800,loss,8.18070984678343e-05
0,2900,win,0.0
0,2900,draw,0.94
0,2900,loss,0.00010982758976751938
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.07
1,400,loss,0.00020862613746430725
1,500,win,0.0
1,500,draw,0.21
1,500,loss,0.0003203191445209086
1,600,win,0.0
1,600,draw,0.33
1,600,loss,0.00016554785543121397
1,700,win,0.0
1,700,draw,0.48
1,700,loss,0.00019354073447175324
1,800,win,0.0
1,800,draw,0.57
1,800,loss,0.00029561686096712947
1,900,win,0.0
1,900,draw,0.72
1,900,loss,0.0003261560632381588
1,1000,win,0.0
1,1000,draw,0.67
1,1000,loss,0.00016788113862276077
1,1100,win,0.0
1,1100,draw,0.83
1,1100,loss,0.0003244462423026562
1,1200,win,0.0
1,1200,draw,0.92
1,1200,loss,0.00031671495526097715
1,1300,win,0.0
1,1300,draw,0.89
1,1300,loss,0.0001139649175456725
1,1400,win,0.0
1,1400,draw,0.9
1,1400,loss,0.0002067461609840393
1,1500,win,0.0
1,1500,draw,0.83
1,1500,loss,0.00010729861969593912
1,1600,win,0.0
1,1600,draw,0.88
1,1600,loss,0.0002316816826350987
1,1700,win,0.0
1,1700,draw,0.95
1,1700,loss,5.612493259832263e-05
1,1800,win,0.0
1,1800,draw,0.95
1,1800,loss,0.00016263948054984212
1,1900,win,0.0
1,1900,draw,0.98
1,1900,loss,0.00017469859449192882
1,2000,win,0.0
1,2000,draw,0.92
1,2000,loss,2.0619645511033013e-05
1,2100,win,0.0
1,2100,draw,0.96
1,2100,loss,0.00015308152069337666
1,2200,win,0.0
1,2200,draw,0.95
1,2200,loss,0.00015428377082571387
1,2300,win,0.0
1,2300,draw,0.99
1,2300,loss,1.2066740055161063e-05
1,2400,win,0.0
1,2400,draw,0.96
1,2400,loss,4.674823139794171e-05
1,2500,win,0.0
1,2500,draw,0.96
1,2500,loss,0.00012119455641368404
1,2600,win,0.0
1,2600,draw,0.97
1,2600,loss,7.780506712151691e-05
1,2700,win,0.0
1,2700,draw,1.0
1,2700,loss,8.124618034344167e-05
1,2800,win,0.0
1,2800,draw,0.99
1,2800,loss,4.743228782899678e-05
1,2900,win,0.0
1,2900,draw,0.98
1,2900,loss,6.50878791930154e-05
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.04
2,400,loss,0.0017152605578303337
2,500,win,0.0
2,500,draw,0.11
2,500,loss,0.00013466758537106216
2,600,win,0.0
2,600,draw,0.26
2,600,loss,0.0002485854201950133
2,700,win,0.0
2,700,draw,0.37
2,700,loss,0.0002557822153903544
2,800,win,0.0
2,800,draw,0.43
2,800,loss,0.00010427364759379998
2,900,win,0.0
2,900,draw,0.68
2,900,loss,0.0005034600617364049
2,1000,win,0.0
2,1000,draw,0.67
2,1000,loss,0.00014863179239910096
2,1100,win,0.0
2,1100,draw,0.83
2,1100,loss,0.00010149437002837658
2,1200,win,0.0
2,1200,draw,0.83
2,1200,loss,0.00010513967572478577
2,1300,win,0.0
2,1300,draw,0.87
2,1300,loss,0.0003192448057234287
2,1400,win,0.0
2,1400,draw,0.88
2,1400,loss,0.00037706876173615456
2,1500,win,0.0
2,1500,draw,0.91
2,1500,loss,0.00023735302966088057
2,1600,win,0.0
2,1600,draw,0.9
2,1600,loss,0.00016858792514540255
2,1700,win,0.0
2,1700,draw,0.93
2,1700,loss,0.00011833511962322518
2,1800,win,0.0
2,1800,draw,0.97
2,1800,loss,0.00012270237493794411
2,1900,win,0.0
2,1900,draw,0.98
2,1900,loss,6.853192462585866e-05
2,2000,win,0.0
2,2000,draw,0.97
2,2000,loss,0.00019772433734033257
2,2100,win,0.0
2,2100,draw,1.0
2,2100,loss,0.00010574652696959674
2,2200,win,0.0
2,2200,draw,1.0
2,2200,loss,0.0002593678655102849
2,2300,win,0.0
2,2300,draw,1.0
2,2300,loss,8.248592348536476e-05
2,2400,win,0.0
2,2400,draw,1.0
2,2400,loss,0.00031225336715579033
2,2500,win,0.0
2,2500,draw,1.0
2,2500,loss,8.654727571411058e-05
2,2600,win,0.0
2,2600,draw,0.99
2,2600,loss,0.00022529227135237306
2,2700,win,0.0
2,2700,draw,1.0
2,2700,loss,0.00015132840781006962
2,2800,win,0.0
2,2800,draw,1.0
2,2800,loss,7.78393296059221e-05
2,2900,win,0.0
2,2900,draw,1.0
2,2900,loss,0.00011543832079041749
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.1
3,400,loss,0.0017368602566421032
3,500,win,0.0
3,500,draw,0.11
3,500,loss,0.0003609660197980702
3,600,win,0.0
3,600,draw,0.09
3,600,loss,0.00027834277716465294
3,700,win,0.0
3,700,draw,0.47
3,700,loss,0.0005075143417343497
3,800,win,0.0
3,800,draw,0.76
3,800,loss,0.00013276316167321056
3,900,win,0.0
3,900,draw,0.84
3,900,loss,0.0001419311302015558
3,1000,win,0.0
3,1000,draw,0.92
3,1000,loss,5.7293931604363024e-05
3,1100,win,0.0
3,1100,draw,0.93
3,1100,loss,0.00021286730770953
3,1200,win,0.0
3,1200,draw,0.84
3,1200,loss,0.00033321845694445074
3,1300,win,0.0
3,1300,draw,0.87
3,1300,loss,7.915440801298246e-05
3,1400,win,0.0
3,1400,draw,0.86
3,1400,loss,0.0002292345161549747
3,1500,win,0.0
3,1500,draw,0.92
3,1500,loss,9.511200187262148e-05
3,1600,win,0.0
3,1600,draw,0.88
3,1600,loss,4.427085514180362e-05
3,1700,win,0.0
3,1700,draw,0.88
3,1700,loss,0.00011485670984257013
3,1800,win,0.0
3,1800,draw,0.96
3,1800,loss,8.285772491944954e-05
3,1900,win,0.0
3,1900,draw,0.95
3,1900,loss,2.727079663600307e-05
3,2000,win,0.0
3,2000,draw,0.95
3,2000,loss,0.00010109200957231224
3,2100,win,0.0
3,2100,draw,0.96
3,2100,loss,0.00016073152073659003
3,2200,win,0.0
3,2200,draw,0.94
3,2200,loss,0.00012545012577902526
3,2300,win,0.0
3,2300,draw,0.97
3,2300,loss,3.798873513005674e-05
3,2400,win,0.0
3,2400,draw,0.96
3,2400,loss,0.0001821886980906129
3,2500,win,0.0
3,2500,draw,0.97
3,2500,loss,5.189935109228827e-05
3,2600,win,0.0
3,2600,draw,0.96
3,2600,loss,6.06392313784454e-05
3,2700,win,0.0
3,2700,draw,0.97
3,2700,loss,7.667649333598092e-05
3,2800,win,0.0
3,2800,draw,0.95
3,2800,loss,8.848880679579452e-05
3,2900,win,0.0
3,2900,draw,0.97
3,2900,loss,6.614327867282555e-05
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.04
4,400,loss,0.0007705126772634685
4,500,win,0.0
4,500,draw,0.07
4,500,loss,0.00020747820963151753
4,600,win,0.0
4,600,draw,0.26
4,600,loss,0.0003480758750811219
4,700,win,0.0
4,700,draw,0.41
4,700,loss,0.00045672652777284384
4,800,win,0.0
4,800,draw,0.37
4,800,loss,0.0002906181034632027
4,900,win,0.0
4,900,draw,0.63
4,900,loss,0.0003900565789081156
4,1000,win,0.0
4,1000,draw,0.71
4,1000,loss,9.225266694556922e-05
4,1100,win,0.0
4,1100,draw,0.91
4,1100,loss,0.00015216952306218445
4,1200,win,0.0
4,1200,draw,0.78
