seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.11
0,400,win,0.0
0,400,draw,0.0
0,400,loss,0.001103368354961276
0,500,win,0.0
0,500,draw,0.25
0,500,loss,0.0013023522915318608
0,600,win,0.0
0,600,draw,0.35
0,600,loss,0.0008525217417627573
0,700,win,0.0
0,700,draw,0.67
0,700,loss,0.0018908672500401735
0,800,win,0.0
0,800,draw,0.67
0,800,loss,0.0009638307383283973
0,900,win,0.0
0,900,draw,0.78
0,900,loss,0.0005664942436851561
0,1000,win,0.0
0,1000,draw,0.9
0,1000,loss,0.000803360715508461
0,1100,win,0.0
0,1100,draw,0.78
0,1100,loss,0.0007599150994792581
0,1200,win,0.0
0,1200,draw,0.95
0,1200,loss,0.0004403654602356255
0,1300,win,0.0
0,1300,draw,0.96
0,1300,loss,0.00032579622347839177
0,1400,win,0.0
0,1400,draw,0.95
0,1400,loss,0.000307451409753412
0,1500,win,0.0
0,1500,draw,0.96
0,1500,loss,0.0006469575455412269
0,1600,win,0.0
0,1600,draw,0.97
0,1600,loss,0.0005835214396938682
0,1700,win,0.0
0,1700,draw,0.99
0,1700,loss,0.0003447950293775648
0,1800,win,0.0
0,1800,draw,0.96
0,1800,loss,0.00018501171143725514
0,1900,win,0.0
0,1900,draw,0.96
0,1900,loss,0.0002697570016607642
0,2000,win,0.0
0,2000,draw,0.99
0,2000,loss,7.255933451233432e-05
0,2100,win,0.0
0,2100,draw,0.96
0,2100,loss,4.460733907762915e-05
0,2200,win,0.0
0,2200,draw,0.96
0,2200,loss,0.0001877039612736553
0,2300,win,0.0
0,2300,draw,0.99
0,2300,loss,0.00013196669169701636
0,2400,win,0.0
0,2400,draw,1.0
0,2400,loss,0.00014294005814008415
0,2500,win,0.0
0,2500,draw,0.97
0,2500,loss,9.439887071494013e-05
0,2600,win,0.0
0,2600,draw,1.0
0,2600,loss,0.00019131055159959942
0,2700,win,0.0
0,2700,draw,0.99
0,2700,loss,5.707827949663624e-05
0,2800,win,0.0
0,2800,draw,0.98
0,2800,loss,5.2748844609595835e-05
0,2900,win,0.0
0,2900,draw,0.99
0,2900,loss,5.497047459357418e-05
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.06
1,400,loss,0.001647128607146442
1,500,win,0.0
1,500,draw,0.28
1,500,loss,0.0011676354333758354
1,600,win,0.0
1,600,draw,0.39
1,600,loss,0.00105961668305099
1,700,win,0.0
1,700,draw,0.46
1,700,loss,0.0009862967999652028
1,800,win,0.0
1,800,draw,0.57
1,800,loss,0.00021740500233136117
1,900,win,0.0
1,900,draw,0.69
1,900,loss,0.0009026110637933016
1,1000,win,0.0
1,1000,draw,0.83
1,1000,loss,0.0008117648540064692
1,1100,win,0.0
1,1100,draw,0.74
1,1100,loss,0.00044101005187258124
1,1200,win,0.0
1,1200,draw,0.76
1,1200,loss,0.0006424096645787358
1,1300,win,0.0
1,1300,draw,0.85
1,1300,loss,0.0008018988883122802
1,1400,win,0.0
1,1400,draw,0.94
1,1400,loss,0.0004572237376123667
1,1500,win,0.0
1,1500,draw,0.9
1,1500,loss,0.0006806619931012392
1,1600,win,0.0
1,1600,draw,0.95
1,1600,loss,0.00019819600856862962
1,1700,win,0.0
1,1700,draw,0.97
1,1700,loss,0.00024929005303420126
1,1800,win,0.0
1,1800,draw,0.92
1,1800,loss,0.00013378917356021702
1,1900,win,0.0
1,1900,draw,0.95
1,1900,loss,0.0003385462041478604
1,2000,win,0.0
1,2000,draw,0.96
1,2000,loss,0.00022369413636624813
1,2100,win,0.0
1,2100,draw,0.96
1,2100,loss,0.00023087061708793044
1,2200,win,0.0
1,2200,draw,0.91
1,2200,loss,0.00012884504394605756
1,2300,win,0.0
1,2300,draw,1.0
1,2300,loss,0.00017966741870623082
1,2400,win,0.0
1,2400,draw,0.95
1,2400,loss,0.00010708328045438975
1,2500,win,0.0
1,2500,draw,0.95
1,2500,loss,6.361339910654351e-05
1,2600,win,0.0
1,2600,draw,0.94
1,2600,loss,0.0001129030788433738
1,2700,win,0.0
1,2700,draw,0.98
1,2700,loss,0.00021716330957133323
1,2800,win,0.0
1,2800,draw,1.0
1,2800,loss,8.60873406054452e-05
1,2900,win,0.0
1,2900,draw,0.99
1,2900,loss,4.359138256404549e-05
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.01
2,400,loss,0.00362015631981194
2,500,win,0.0
2,500,draw,0.09
2,500,loss,0.0013530326541513205
2,600,win,0.0
2,600,draw,0.34
2,600,loss,0.0007443869835697114
2,700,win,0.0
2,700,draw,0.5
2,700,loss,0.0006730451714247465
2,800,win,0.0
2,800,draw,0.66
2,800,loss,0.0013927118852734566
2,900,win,0.0
2,900,draw,0.69
2,900,loss,0.0008412044262513518
2,1000,win,0.0
2,1000,draw,0.86
2,1000,loss,0.0007880894700065255
2,1100,win,0.0
2,1100,draw,0.92
2,1100,loss,0.0005571263609454036
2,1200,win,0.0
2,1200,draw,0.89
2,1200,loss,0.0006286017596721649
2,1300,win,0.0
2,1300,draw,0.91
2,1300,loss,0.0003461305459495634
2,1400,win,0.0
2,1400,draw,1.0
2,1400,loss,0.0002550821809563786
2,1500,win,0.0
2,1500,draw,0.93
2,1500,loss,0.0002544285380281508
2,1600,win,0.0
2,1600,draw,0.99
2,1600,loss,0.0004584050038829446
2,1700,win,0.0
2,1700,draw,0.97
2,1700,loss,0.00035836827009916306
2,1800,win,0.0
2,1800,draw,0.99
2,1800,loss,0.00028885656502097845
2,1900,win,0.0
2,1900,draw,0.98
2,1900,loss,7.337454007938504e-05
2,2000,win,0.0
2,2000,draw,0.98
2,2000,loss,0.00030131946550682187
2,2100,win,0.0
2,2100,draw,0.97
2,2100,loss,5.704355862690136e-05
2,2200,win,0.0
2,2200,draw,0.97
2,2200,loss,0.0003042423049919307
2,2300,win,0.0
2,2300,draw,0.96
2,2300,loss,0.000281805288977921
2,2400,win,0.0
2,2400,draw,0.99
2,2400,loss,7.161738176364452e-05
2,2500,win,0.0
2,2500,draw,0.97
2,2500,loss,0.00013559707440435886
2,2600,win,0.0
2,2600,draw,0.99
2,2600,loss,6.203678640304133e-05
2,2700,win,0.0
2,2700,draw,1.0
2,2700,loss,6.294978084042668e-05
2,2800,win,0.0
2,2800,draw,0.99
2,2800,loss,9.095955465454608e-05
2,2900,win,0.0
2,2900,draw,1.0
2,2900,loss,8.19125198177062e-05
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.06
3,400,loss,0.0032054372131824493
3,500,win,0.0
3,500,draw,0.18
3,500,loss,0.0011042454279959202
3,600,win,0.0
3,600,draw,0.14
3,600,loss,0.0014664472546428442
3,700,win,0.0
3,700,draw,0.52
3,700,loss,0.0008395309560000896
3,800,win,0.0
3,800,draw,0.83
3,800,loss,0.0005708966637030244
3,900,win,0.0
3,900,draw,0.89
3,900,loss,0.0007784647750668228
3,1000,win,0.0
3,1000,draw,0.82
3,1000,loss,0.0005332662840373814
3,1100,win,0.0
3,1100,draw,0.82
3,1100,loss,0.0002972765942104161
3,1200,win,0.0
3,1200,draw,0.84
3,1200,loss,0.0003345933509990573
3,1300,win,0.0
3,1300,draw,0.94
3,1300,loss,0.00017727554950397462
3,1400,win,0.0
3,1400,draw,0.88
3,1400,loss,0.00021553697297349572
3,1500,win,0.0
3,1500,draw,0.88
3,1500,loss,0.00023075054923538119
3,1600,win,0.0
3,1600,draw,0.94
3,1600,loss,0.00010406928777229041
3,1700,win,0.0
3,1700,draw,0.86
3,1700,loss,0.00020012774621136487
3,1800,win,0.0
3,1800,draw,0.94
3,1800,loss,0.00010125811968464404
3,1900,win,0.0
3,1900,draw,0.91
3,1900,loss,8.106227323878556e-05
3,2000,win,0.0
3,2000,draw,0.95
3,2000,loss,0.00011049716704292223
3,2100,win,0.0
3,2100,draw,0.98
3,2100,loss,4.2182284232694656e-05
3,2200,win,0.0
3,2200,draw,0.89
3,2200,loss,7.43528944440186e-05
3,2300,win,0.0
3,2300,draw,0.91
3,2300,loss,8.350436110049486e-05
3,2400,win,0.0
3,2400,draw,0.89
3,2400,loss,9.99918847810477e-05
3,2500,win,0.0
3,2500,draw,0.97
3,2500,loss,0.00012447632616385818
3,2600,win,0.0
3,2600,draw,0.95
3,2600,loss,9.51630063354969e-05
3,2700,win,0.0
3,2700,draw,0.98
3,2700,loss,0.00010719597048591822
3,2800,win,0.0
3,2800,draw,0.98
3,2800,loss,0.00011771799472626299
3,2900,win,0.0
3,2900,draw,0.97
3,2900,loss,0.00010703803854994476
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.04
4,400,loss,0.0016896631568670273
4,500,win,0.0
4,500,draw,0.06
4,500,loss,0.00045979180140420794
4,600,win,0.0
4,600,draw,0.25
4,600,loss,0.0006852633669041097
4,700,win,0.0
4,700,draw,0.42
4,700,loss,0.0007882092613726854
4,800,win,0.0
4,800,draw,0.26
4,800,loss,0.0010668826289474964
4,900,win,0.0
4,900,draw,0.57
4,900,loss,0.0011647751089185476
4,1000,win,0.0
4,1000,draw,0.88
4,1000,loss,0.0007096216431818902
4,1100,win,0.0
4,1100,draw,0.9
4,1100,loss,0.0010883016511797905
4,1200,win,0.0
4,1200,draw,0.95
4,1200,loss,0.0005697825690731406
4,1300,win,0.0
4,1300,draw,0.95
