seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.12
0,400,win,0.0
0,400,draw,0.12
0,400,loss,0.001738367835059762
0,500,win,0.0
0,500,draw,0.27
0,500,loss,0.0021923824679106474
0,600,win,0.0
0,600,draw,0.63
0,600,loss,0.002329193754121661
0,700,win,0.0
0,700,draw,0.72
0,700,loss,0.0021280816290527582
0,800,win,0.0
0,800,draw,0.74
0,800,loss,0.002649083500728011
0,900,win,0.0
0,900,draw,0.78
0,900,loss,0.002662497805431485
0,1000,win,0.0
0,1000,draw,0.86
0,1000,loss,0.001970349345356226
0,1100,win,0.0
0,1100,draw,0.84
0,1100,loss,0.001004139892756939
0,1200,win,0.0
0,1200,draw,0.9
0,1200,loss,0.0006974863354116678
0,1300,win,0.0
0,1300,draw,0.93
0,1300,loss,0.0007806739304214716
0,1400,win,0.0
0,1400,draw,0.94
0,1400,loss,0.0007543808314949274
0,1500,win,0.0
0,1500,draw,0.93
0,1500,loss,0.0008797311456874013
0,1600,win,0.0
0,1600,draw,1.0
0,1600,loss,0.0007339902222156525
0,1700,win,0.0
0,1700,draw,1.0
0,1700,loss,0.000976951327174902
0,1800,win,0.0
0,1800,draw,1.0
0,1800,loss,0.0009716603672131896
0,1900,win,0.0
0,1900,draw,0.97
0,1900,loss,0.0010621696710586548
0,2000,win,0.0
0,2000,draw,1.0
0,2000,loss,0.0009469879441894591
0,2100,win,0.0
0,2100,draw,0.97
0,2100,loss,0.0005368490237742662
0,2200,win,0.0
0,2200,draw,1.0
0,2200,loss,0.0009211936267092824
0,2300,win,0.0
0,2300,draw,0.99
0,2300,loss,0.0006454680697061121
0,2400,win,0.0
0,2400,draw,1.0
0,2400,loss,0.0005793711170554161
0,2500,win,0.0
0,2500,draw,0.99
0,2500,loss,0.0003630451101344079
0,2600,win,0.0
0,2600,draw,1.0
0,2600,loss,0.0004569023731164634
0,2700,win,0.0
0,2700,draw,1.0
0,2700,loss,0.00044997272198088467
0,2800,win,0.0
0,2800,draw,0.97
0,2800,loss,0.0005268572713248432
0,2900,win,0.0
0,2900,draw,0.99
0,2900,loss,0.0006343052955344319
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.18
1,400,loss,0.0016722101718187332
1,500,win,0.0
1,500,draw,0.78
1,500,loss,0.0031061857007443905
1,600,win,0.0
1,600,draw,0.78
1,600,loss,0.0020038262009620667
1,700,win,0.0
1,700,draw,0.77
1,700,loss,0.0017913361079990864
1,800,win,0.0
1,800,draw,0.9
1,800,loss,0.001346461707726121
1,900,win,0.0
1,900,draw,0.92
1,900,loss,0.0013313882518559694
1,1000,win,0.0
1,1000,draw,0.94
1,1000,loss,0.001570671098306775
1,1100,win,0.0
1,1100,draw,0.97
1,1100,loss,0.0010415572905912995
1,1200,win,0.0
1,1200,draw,0.98
1,1200,loss,0.0008228183723986149
1,1300,win,0.0
1,1300,draw,0.94
1,1300,loss,0.0015666820108890533
1,1400,win,0.0
1,1400,draw,0.98
1,1400,loss,0.0005772554432041943
1,1500,win,0.0
1,1500,draw,0.99
1,1500,loss,0.0006688114954158664
1,1600,win,0.0
1,1600,draw,0.98
1,1600,loss,0.0007141659734770656
1,1700,win,0.0
1,1700,draw,0.98
1,1700,loss,0.0006728655425831676
1,1800,win,0.0
1,1800,draw,0.98
1,1800,loss,0.0005343109951354563
1,1900,win,0.0
1,1900,draw,0.99
1,1900,loss,0.0007937045302242041
1,2000,win,0.0
1,2000,draw,0.99
1,2000,loss,0.0007339538424275815
1,2100,win,0.0
1,2100,draw,0.98
1,2100,loss,0.0010060271015390754
1,2200,win,0.0
1,2200,draw,0.94
1,2200,loss,0.0010721394792199135
1,2300,win,0.0
1,2300,draw,0.99
1,2300,loss,0.0006754429778084159
1,2400,win,0.0
1,2400,draw,0.97
1,2400,loss,0.0009604333899915218
1,2500,win,0.0
1,2500,draw,0.98
1,2500,loss,0.0007124229450710118
1,2600,win,0.0
1,2600,draw,0.99
1,2600,loss,0.0008046738803386688
1,2700,win,0.0
1,2700,draw,0.98
1,2700,loss,0.0005502288695424795
1,2800,win,0.0
1,2800,draw,0.98
1,2800,loss,0.0003517064615152776
1,2900,win,0.0
1,2900,draw,0.95
1,2900,loss,0.00020784538355655968
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.19
2,400,loss,0.0019695472437888384
2,500,win,0.0
2,500,draw,0.23
2,500,loss,0.001544359140098095
2,600,win,0.0
2,600,draw,0.55
2,600,loss,0.0013960724463686347
2,700,win,0.0
2,700,draw,0.64
2,700,loss,0.001143076573498547
2,800,win,0.0
2,800,draw,0.84
2,800,loss,0.001354925218038261
2,900,win,0.0
2,900,draw,0.8
2,900,loss,0.0015834684018045664
2,1000,win,0.0
2,1000,draw,0.84
2,1000,loss,0.0022889901883900166
2,1100,win,0.0
2,1100,draw,0.83
2,1100,loss,0.0012565252836793661
2,1200,win,0.0
2,1200,draw,0.9
2,1200,loss,0.0010002551134675741
2,1300,win,0.0
2,1300,draw,0.84
2,1300,loss,0.0018491720547899604
2,1400,win,0.0
2,1400,draw,0.91
2,1400,loss,0.001490520779043436
2,1500,win,0.0
2,1500,draw,0.98
2,1500,loss,0.0006074304110370576
2,1600,win,0.0
2,1600,draw,0.94
2,1600,loss,0.0008977878605946898
2,1700,win,0.0
2,1700,draw,0.97
2,1700,loss,0.00033322913805022836
2,1800,win,0.0
2,1800,draw,0.96
2,1800,loss,0.0004783571930602193
2,1900,win,0.0
2,1900,draw,0.99
2,1900,loss,0.000298442377243191
2,2000,win,0.0
2,2000,draw,0.98
2,2000,loss,0.0007047172985039651
2,2100,win,0.0
2,2100,draw,0.95
2,2100,loss,0.0006448148051276803
2,2200,win,0.0
2,2200,draw,1.0
2,2200,loss,0.0004314107645768672
2,2300,win,0.0
2,2300,draw,1.0
2,2300,loss,0.0007027662359178066
2,2400,win,0.0
2,2400,draw,1.0
2,2400,loss,0.00042014490463770926
2,2500,win,0.0
2,2500,draw,0.97
2,2500,loss,0.0007753678946755826
2,2600,win,0.0
2,2600,draw,0.99
2,2600,loss,0.0003963629133068025
2,2700,win,0.0
2,2700,draw,1.0
2,2700,loss,0.00043179845670238137
2,2800,win,0.0
2,2800,draw,0.98
2,2800,loss,0.00033925980096682906
2,2900,win,0.0
2,2900,draw,1.0
2,2900,loss,0.00038289351505227387
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.08
3,400,loss,0.0019339441787451506
3,500,win,0.0
3,500,draw,0.2
3,500,loss,0.0015312694013118744
3,600,win,0.0
3,600,draw,0.45
3,600,loss,0.0027204949874430895
3,700,win,0.0
3,700,draw,0.71
3,700,loss,0.0022907897364348173
3,800,win,0.0
3,800,draw,0.91
3,800,loss,0.0011545182205736637
3,900,win,0.0
3,900,draw,0.82
3,900,loss,0.0018247268162667751
3,1000,win,0.0
3,1000,draw,0.84
3,1000,loss,0.0011215369449928403
3,1100,win,0.0
3,1100,draw,0.95
3,1100,loss,0.0008087747264653444
3,1200,win,0.0
3,1200,draw,0.94
3,1200,loss,0.001143121626228094
3,1300,win,0.0
3,1300,draw,0.9
3,1300,loss,0.0012052368838340044
3,1400,win,0.0
3,1400,draw,0.89
3,1400,loss,0.00113365997094661
3,1500,win,0.0
3,1500,draw,0.94
3,1500,loss,0.0010423158528283238
3,1600,win,0.0
3,1600,draw,0.96
3,1600,loss,0.0008929682662710547
3,1700,win,0.0
3,1700,draw,0.94
3,1700,loss,0.0007347154896706343
3,1800,win,0.0
3,1800,draw,1.0
3,1800,loss,0.0008424901752732694
3,1900,win,0.0
3,1900,draw,1.0
3,1900,loss,0.000560720800422132
3,2000,win,0.0
3,2000,draw,1.0
3,2000,loss,0.0008231805404648185
3,2100,win,0.0
3,2100,draw,1.0
3,2100,loss,0.0006468266947194934
3,2200,win,0.0
3,2200,draw,1.0
3,2200,loss,0.0005061006522737443
3,2300,win,0.0
3,2300,draw,1.0
3,2300,loss,0.0004402767226565629
3,2400,win,0.0
3,2400,draw,0.96
3,2400,loss,0.0003481722960714251
3,2500,win,0.0
3,2500,draw,0.95
3,2500,loss,0.0008337485487572849
3,2600,win,0.0
3,2600,draw,1.0
3,2600,loss,0.0008419805089943111
3,2700,win,0.0
3,2700,draw,1.0
3,2700,loss,0.0008223838522098958
3,2800,win,0.0
3,2800,draw,1.0
3,2800,loss,0.0003744169953279197
3,2900,win,0.0
3,2900,draw,0.94
3,2900,loss,0.00020652642706409097
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.15
4,400,loss,0.0019542453810572624
4,500,win,0.0
4,500,draw,0.3
4,500,loss,0.002414740389212966
4,600,win,0.0
4,600,draw,0.39
4,600,loss,0.0019266430754214525
4,700,win,0.0
4,700,draw,0.72
4,700,loss,0.001386967021971941
4,800,win,0.0
4,800,draw,0.93
4,800,loss,0.001242864760570228
4,900,win,0.0
4,900,draw,0.9
4,900,loss,0.0014172017108649015
4,1000,win,0.0
4,1000,draw,0.98
4,1000,loss,0.0017132535576820374
4,1100,win,0.0
4,1100,draw,0.94
4,1100,loss,0.0011738755274564028
4,1200,win,0.0
4,1200,draw,0.95
4,1200,loss,0.000954465358518064
4,1300,win,0.0
4,1300,draw,0.96
4,1300,loss,0.0011402838863432407
4,1400,win,0.0
