number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discount,params_eps_decay,params_grad_steps,params_hidden_units,params_lr,params_n_layers,state
0,0.9366666666666665,2025-06-08 13:56:27.477812,2025-06-08 14:01:55.733171,0 days 00:05:28.255359,64,0.8089832691658893,0.001224252610533486,2,256,0.00041826198215917675,1,COMPLETE
1,0.043333333333333335,2025-06-08 14:01:55.737886,2025-06-08 14:08:23.258508,0 days 00:06:27.520622,32,0.8882662019975729,0.00021595120547519746,3,32,2.666188131726425e-05,1,COMPLETE
2,0.08,2025-06-08 14:08:23.262469,2025-06-08 14:10:58.885027,0 days 00:02:35.622558,128,0.9205001181143024,0.0008896812205490628,1,32,8.546108845869309e-05,1,COMPLETE
3,0.9766666666666666,2025-06-08 14:10:58.889770,2025-06-08 14:16:22.701224,0 days 00:05:23.811454,128,0.8182511419386008,0.0005941195893142136,2,256,0.00014582605208939022,2,COMPLETE
4,1.0,2025-06-08 14:16:22.708311,2025-06-08 14:23:52.447419,0 days 00:07:29.739108,64,0.8626725270230828,0.0056328031741334165,3,256,0.00022687424267839654,2,COMPLETE
5,0.45999999999999996,2025-06-08 14:23:52.452291,2025-06-08 14:33:18.963505,0 days 00:09:26.511214,64,0.8030263344528521,0.004249524619388926,4,256,2.017653659582103e-05,1,COMPLETE
6,0.9899999999999999,2025-06-08 14:33:18.967515,2025-06-08 14:40:33.380878,0 days 00:07:14.413363,64,0.893130975346392,0.0003563178148617896,3,256,0.00034967930783968813,2,COMPLETE
7,0.8300000000000001,2025-06-08 14:40:33.384787,2025-06-08 14:47:50.773572,0 days 00:07:17.388785,64,0.8973909837386701,0.0068188728814947575,3,256,5.5533066640452825e-05,1,COMPLETE
8,0.06,2025-06-08 14:47:50.777857,2025-06-08 14:52:48.027397,0 days 00:04:57.249540,128,0.8446600799464211,0.007149249081962715,2,32,1.8302576100201905e-05,2,COMPLETE
9,0.9833333333333334,2025-06-08 14:52:48.032810,2025-06-08 15:00:25.522026,0 days 00:07:37.489216,32,0.9280084594507279,0.004697553470054393,3,256,0.00016379457024295123,2,COMPLETE
10,0.9866666666666667,2025-06-08 15:00:25.526821,2025-06-08 15:05:24.521819,0 days 00:04:58.994998,64,0.896504024899793,0.003747867080507406,2,64,0.0009875851322137398,2,COMPLETE
